Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
2.5906e+07,-0.601778,0.299174,-0.740512,-0.000124721,0,0,0.300889,3454.85
2.5932e+07,-0.601497,0.299306,-0.740685,-0.000124636,1.72295e-07,0,0.300748,3454.85
2.59594e+07,-0.601215,0.299438,-0.740857,-0.00012455,3.44591e-07,0,0.300608,3454.85
2.59339e+07,-0.601185,0.298732,-0.741152,-0.000124636,0,-6.9609e-08,0.300593,3454.85
2.59882e+07,-0.600934,0.29957,-0.74103,-0.000124465,5.16886e-07,0,0.300467,3454.85
2.59599e+07,-0.600904,0.298864,-0.741324,-0.00012455,1.72295e-07,-6.9609e-08,0.300452,3454.85
2.60183e+07,-0.600653,0.299702,-0.741202,-0.000124379,6.89182e-07,0,0.300327,3454.85
2.59872e+07,-0.600623,0.298996,-0.741497,-0.000124465,3.44591e-07,-6.9609e-08,0.300311,3454.85
2.59625e+07,-0.600593,0.298289,-0.741791,-0.00012455,0,-1.39218e-07,0.300296,3454.85
2.60498e+07,-0.600372,0.299834,-0.741374,-0.000124293,8.61477e-07,0,0.300186,3454.85
2.60159e+07,-0.600342,0.299128,-0.741669,-0.000124379,5.16886e-07,-6.9609e-08,0.300171,3454.85
2.59884e+07,-0.600312,0.298422,-0.741964,-0.000124465,1.72295e-07,-1.39218e-07,0.300156,3454.85
2.60827e+07,-0.600091,0.299967,-0.741547,-0.000124208,1.03377e-06,0,0.300045,3454.85
2.6046e+07,-0.60006,0.29926,-0.741841,-0.000124293,6.89182e-07,-6.9609e-08,0.30003,3454.85
2.60157e+07,-0.60003,0.298554,-0.742136,-0.000124379,3.44591e-07,-1.39218e-07,0.300015,3454.85
2.59917e+07,-0.6,0.297847,-0.742431,-0.000124465,0,-2.08827e-07,0.3,3454.85
2.61169e+07,-0.599809,0.300099,-0.741719,-0.000124122,1.20607e-06,0,0.299905,3454.85
2.60775e+07,-0.599779,0.299392,-0.742014,-0.000124208,8.61477e-07,-6.9609e-08,0.29989,3454.85
2.60444e+07,-0.599749,0.298686,-0.742309,-0.000124293,5.16886e-07,-1.39218e-07,0.299875,3454.85
2.60176e+07,-0.599719,0.297979,-0.742603,-0.000124379,1.72295e-07,-2.08827e-07,0.299859,3454.85
2.61525e+07,-0.599528,0.300231,-0.741892,-0.000124036,1.37836e-06,0,0.299764,3454.85
2.61103e+07,-0.599498,0.299524,-0.742186,-0.000124122,1.03377e-06,-6.9609e-08,0.299749,3454.85
2.60744e+07,-0.599468,0.298818,-0.742481,-0.000124208,6.89182e-07,-1.39218e-07,0.299734,3454.85
2.60448e+07,-0.599438,0.298112,-0.742776,-0.000124293,3.44591e-07,-2.08827e-07,0.299719,3454.85
2.60216e+07,-0.599408,0.297405,-0.74307,-0.000124379,0,-2.78436e-07,0.299704,3454.85
2.61894e+07,-0.599247,0.300363,-0.742064,-0.000123951,1.55066e-06,0,0.299624,3454.85
2.61445e+07,-0.599217,0.299657,-0.742359,-0.000124036,1.20607e-06,-6.9609e-08,0.299608,3454.85
2.61058e+07,-0.599187,0.29895,-0.742653,-0.000124122,8.61477e-07,-1.39218e-07,0.299593,3454.85
2.60734e+07,-0.599157,0.298244,-0.742948,-0.000124208,5.16886e-07,-2.08827e-07,0.299578,3454.85
2.60474e+07,-0.599126,0.297537,-0.743243,-0.000124293,1.72295e-07,-2.78436e-07,0.299563,3454.85
2.62277e+07,-0.598966,0.300495,-0.742236,-0.000123865,1.72295e-06,0,0.299483,3454.85
2.618e+07,-0.598936,0.299789,-0.742531,-0.000123951,1.37836e-06,-6.9609e-08,0.299468,3454.85
2.61385e+07,-0.598906,0.299082,-0.742826,-0.000124036,1.03377e-06,-1.39218e-07,0.299453,3454.85
2.61034e+07,-0.598875,0.298376,-0.743121,-0.000124122,6.89182e-07,-2.08827e-07,0.299438,3454.85
2.60746e+07,-0.598845,0.297669,-0.743415,-0.000124208,3.44591e-07,-2.78436e-07,0.299423,3454.85
2.60521e+07,-0.598815,0.296963,-0.74371,-0.000124293,0,-3.48045e-07,0.299408,3454.85
2.62673e+07,-0.598685,0.300627,-0.742409,-0.000123779,1.89525e-06,0,0.299342,3454.85
