Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
5.78684e+07,-0.165411,0.91293,-0.371872,-0.000113339,3.40118e-05,-1.11832e-05,0.0827054,3454.85
5.14475e+07,-0.165408,0.826565,-0.537144,-0.000122738,2.87425e-05,-1.86142e-05,0.0827039,3454.85
3.95436e+07,-0.165408,0.648743,-0.742808,-0.000144338,1.98082e-05,-2.34392e-05,0.0827038,3454.85
3.74062e+07,-0.165408,0.637239,-0.752625,-0.000139482,1.70052e-05,-2.67813e-05,0.0827038,3454.85
5.24287e+07,-0.165402,0.745214,-0.645206,-0.000110884,2.36858e-05,-2.85373e-05,0.0827008,3454.85
5.27981e+07,-0.1654,0.747487,-0.642508,-0.00010973,2.36878e-05,-2.88209e-05,0.0826998,3454.85
3.94559e+07,-0.165399,0.640858,-0.74951,-0.00014406,1.91356e-05,-2.40796e-05,0.0826996,3454.85
3.73629e+07,-0.165399,0.571561,-0.802764,-0.000152346,1.48497e-05,-2.58494e-05,0.0826994,3454.85
6.58547e+07,-0.165397,0.930931,-0.322401,-0.000102779,3.64881e-05,-9.23529e-06,0.0826985,3454.85
4.00663e+07,-0.165397,0.651508,-0.740354,-0.000144143,2.32689e-05,-2.03996e-05,0.0826985,3454.85
6.42378e+07,-0.165396,0.72068,-0.672853,-8.34086e-05,2.09765e-05,-3.74954e-05,0.0826979,3454.85
1.45548e+08,-0.165395,0.391799,-0.904527,-4.5433e-05,8.15182e-06,-5.78555e-05,0.0826977,3454.85
9.41266e+07,-0.165395,0.773872,-0.610084,-5.97288e-05,2.01808e-05,-4.45185e-05,0.0826973,3454.85
5.26476e+07,-0.165392,0.745297,-0.644992,-0.000110182,2.36903e-05,-2.86977e-05,0.0826959,3454.85
2.68047e+07,-0.16539,0.371064,-0.911125,-0.000195123,8.68344e-06,-1.68924e-05,0.0826952,3454.85
5.2614e+07,-0.165388,0.735648,-0.656155,-0.000107377,2.21778e-05,-3.11861e-05,0.0826939,3454.85
3.95137e+07,-0.165387,0.646334,-0.744895,-0.000144641,1.9525e-05,-2.36135e-05,0.0826935,3454.85
3.99025e+07,-0.165386,0.650649,-0.741127,-0.000143981,2.18377e-05,-2.17116e-05,0.0826929,3454.85
3.76875e+07,-0.165385,0.54942,-0.818532,-0.000135817,1.53937e-05,-2.9267e-05,0.0826926,3454.85
