Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
1.87972e+07,-0.980053,0.0998664,-0.171822,-0.000178008,8.80028e-20,0,0.490027,3454.85
1.88208e+07,-0.979084,0.100114,-0.176639,-0.000177947,5.98976e-07,0,0.489542,3454.85
1.87769e+07,-0.978625,0.101402,-0.178063,-0.000177919,8.68171e-20,-5.05849e-07,0.489313,3454.85
1.88445e+07,-0.978116,0.100363,-0.181456,-0.000177886,1.19795e-06,0,0.489058,3454.85
1.88005e+07,-0.977657,0.10165,-0.18288,-0.000177858,5.98976e-07,-5.05849e-07,0.488828,3454.85
1.87566e+07,-0.977198,0.102938,-0.184304,-0.000177831,8.56315e-20,-1.0117e-06,0.488599,3454.85
1.88682e+07,-0.977147,0.100611,-0.186273,-0.000177825,1.79693e-06,0,0.488574,3454.85
1.88241e+07,-0.976688,0.101898,-0.187697,-0.000177797,1.19795e-06,-5.05849e-07,0.488344,3454.85
1.87803e+07,-0.976229,0.103186,-0.189121,-0.00017777,5.98976e-07,-1.0117e-06,0.488115,3454.85
1.88919e+07,-0.976179,0.100859,-0.191089,-0.000177764,2.3959e-06,0,0.488089,3454.85
1.87366e+07,-0.97577,0.104474,-0.190545,-0.000177742,8.44458e-20,-1.51755e-06,0.487885,3454.85
1.88478e+07,-0.97572,0.102146,-0.192514,-0.000177736,1.79693e-06,-5.05849e-07,0.48786,3454.85
1.88039e+07,-0.975261,0.103434,-0.193938,-0.000177708,1.19795e-06,-1.0117e-06,0.48763,3454.85
1.89157e+07,-0.97521,0.101107,-0.195906,-0.000177703,2.99488e-06,0,0.487605,3454.85
1.87602e+07,-0.974802,0.104722,-0.195362,-0.000177681,5.98976e-07,-1.51755e-06,0.487401,3454.85
1.88716e+07,-0.974751,0.102395,-0.19733,-0.000177675,2.3959e-06,-5.05849e-07,0.487376,3454.85
1.87166e+07,-0.974343,0.10601,-0.196786,-0.000177653,8.32601e-20,-2.02339e-06,0.487171,3454.85
1.88276e+07,-0.974292,0.103682,-0.198755,-0.000177647,1.79693e-06,-1.0117e-06,0.487146,3454.85
1.89395e+07,-0.974242,0.101355,-0.200723,-0.000177642,3.59385e-06,0,0.487121,3454.85
1.87839e+07,-0.973833,0.10497,-0.200179,-0.00017762,1.19795e-06,-1.51755e-06,0.486917,3454.85
1.88953e+07,-0.973783,0.102643,-0.202147,-0.000177614,2.99488e-06,-5.05849e-07,0.486891,3454.85
1.87403e+07,-0.973374,0.106258,-0.201603,-0.000177592,5.98976e-07,-2.02339e-06,0.486687,3454.85
1.88514e+07,-0.973324,0.10393,-0.203571,-0.000177586,2.3959e-06,-1.0117e-06,0.486662,3454.85
1.89633e+07,-0.973273,0.101603,-0.20554,-0.000177581,4.19283e-06,0,0.486637,3454.85
1.86968e+07,-0.972915,0.107545,-0.203027,-0.000177565,8.20744e-20,-2.52924e-06,0.486458,3454.85
1.88076e+07,-0.972865,0.105218,-0.204996,-0.000177559,1.79693e-06,-1.51755e-06,0.486432,3454.85
1.89192e+07,-0.972814,0.102891,-0.206964,-0.000177553,3.59385e-06,-5.05849e-07,0.486407,3454.85
1.8764e+07,-0.972406,0.106506,-0.20642,-0.000177531,1.19795e-06,-2.02339e-06,0.486203,3454.85
1.88752e+07,-0.972355,0.104178,-0.208388,-0.000177525,2.99488e-06,-1.0117e-06,0.486178,3454.85
1.89872e+07,-0.972305,0.101851,-0.210357,-0.00017752,4.79181e-06,0,0.486152,3454.85
1.87205e+07,-0.971947,0.107794,-0.207844,-0.000177503,5.98976e-07,-2.52924e-06,0.485973,3454.85
1.88313e+07,-0.971896,0.105466,-0.209812,-0.000177498,2.3959e-06,-1.51755e-06,0.485948,3454.85
1.8943e+07,-0.971846,0.103139,-0.211781,-0.000177492,4.19283e-06,-5.05849e-07,0.485923,3454.85
1.89303e+07,-0.971676,0.0987721,-0.214272,-0.000177434,6.06481e-06,0,0.485838,3454.85
1.86772e+07,-0.971488,0.109081,-0.209268,-0.000177476,8.08887e-20,-3.03509e-06,0.485744,3454.85
1.87877e+07,-0.971437,0.106754,-0.211237,-0.00017747,1.79693e-06,-2.02339e-06,0.485719,3454.85
1.8899e+07,-0.971387,0.104427,-0.213205,-0.000177464,3.59385e-06,-1.0117e-06,0.485693,3454.85
1.88729e+07,-0.971155,0.0991646,-0.216168,-0.000177199,5.10343e-06,-1.2129e-06,0.485577,3454.85
1.88737e+07,-0.971048,0.0956932,-0.218187,-0.000177349,7.33781e-06,0,0.485524,3454.85
1.87442e+07,-0.970978,0.108042,-0.212661,-0.000177442,1.19795e-06,-2.52924e-06,0.485489,3454.85
1.88551e+07,-0.970928,0.105714,-0.214629,-0.000177437,2.99488e-06,-1.51755e-06,0.485464,3454.85
1.88291e+07,-0.970696,0.100452,-0.217592,-0.000177171,4.50446e-06,-1.71875e-06,0.485348,3454.85
1.88166e+07,-0.970527,0.0960857,-0.220083,-0.000177114,6.37643e-06,-1.2129e-06,0.485263,3454.85
1.87009e+07,-0.970519,0.109329,-0.214085,-0.000177415,5.98976e-07,-3.03509e-06,0.485259,3454.85
1.88114e+07,-0.970469,0.107002,-0.216053,-0.000177409,2.3959e-06,-2.02339e-06,0.485234,3454.85
1.88174e+07,-0.97042,0.0926142,-0.222103,-0.000177264,8.61081e-06,0,0.48521,3454.85
1.87855e+07,-0.970237,0.10174,-0.219016,-0.000177144,3.90548e-06,-2.2246e-06,0.485118,3454.85
1.86577e+07,-0.97006,0.110617,-0.215509,-0.000177387,7.9703e-20,-3.54094e-06,0.48503,3454.85
1.87679e+07,-0.970009,0.10829,-0.217478,-0.000177381,1.79693e-06,-2.52924e-06,0.485005,3454.85
1.87603e+07,-0.970005,0.0964782,-0.221979,-0.000176878,5.41506e-06,-2.4258e-06,0.485002,3454.85
1.87607e+07,-0.969898,0.0930067,-0.223999,-0.000177028,7.64943e-06,-1.2129e-06,0.484949,3454.85
1.87615e+07,-0.969792,0.0895353,-0.226018,-0.000177179,9.88381e-06,0,0.484896,3454.85
1.87421e+07,-0.969778,0.103028,-0.220441,-0.000177116,3.30651e-06,-2.73045e-06,0.484889,3454.85
1.87246e+07,-0.96955,0.109577,-0.218902,-0.000177354,1.19795e-06,-3.03509e-06,0.484775,3454.85
1.8717e+07,-0.969546,0.097766,-0.223404,-0.000176851,4.81608e-06,-2.93165e-06,0.484773,3454.85
1.87047e+07,-0.969377,0.0933993,-0.225895,-0.000176793,6.68806e-06,-2.4258e-06,0.484688,3454.85
1.86989e+07,-0.969319,0.104316,-0.221865,-0.000177088,2.70753e-06,-3.2363e-06,0.484659,3454.85
1.87051e+07,-0.96927,0.0899278,-0.227914,-0.000176943,8.92243e-06,-1.2129e-06,0.484635,3454.85
1.87059e+07,-0.969164,0.0864563,-0.229933,-0.000177093,1.11568e-05,0,0.484582,3454.85
1.86814e+07,-0.969091,0.110865,-0.220326,-0.000177326,5.98976e-07,-3.54094e-06,0.484546,3454.85
1.86738e+07,-0.969087,0.0990537,-0.224828,-0.000176823,4.21711e-06,-3.4375e-06,0.484543,3454.85
2.0203e+07,-0.968979,0.0970933,-0.22727,-0.000175316,2.93682e-05,0,0.48449,3454.85
1.86558e+07,-0.96886,0.105603,-0.223289,-0.000177061,2.10855e-06,-3.74214e-06,0.48443,3454.85
1.86495e+07,-0.968855,0.0937918,-0.227791,-0.000176558,5.72669e-06,-3.63871e-06,0.484427,3454.85
1.99558e+07,-0.968767,0.0946091,-0.229071,-0.000175507,2.75692e-05,0,0.484383,3454.85
1.86495e+07,-0.968748,0.0903203,-0.22981,-0.000176708,7.96106e-06,-2.4258e-06,0.484374,3454.85
1.86498e+07,-0.968642,0.0868489,-0.231829,-0.000176858,1.01954e-05,-1.2129e-06,0.484321,3454.85
1.86384e+07,-0.968632,0.112153,-0.22175,-0.000177298,7.85173e-20,-4.04679e-06,0.484316,3454.85
1.86309e+07,-0.968628,0.100341,-0.226252,-0.000176795,3.61813e-06,-3.94335e-06,0.484314,3454.85
1.97192e+07,-0.968554,0.0921248,-0.230872,-0.000175697,2.57701e-05,0,0.484277,3454.85
1.86506e+07,-0.968535,0.0833774,-0.233848,-0.000177008,1.24298e-05,0,0.484268,3454.85
1.86129e+07,-0.9684,0.106891,-0.224713,-0.000177033,1.50958e-06,-4.24799e-06,0.4842,3454.85
