Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
5.14685e+07,-0.407689,0.0937273,-0.908298,-7.71425e-05,0,-1.04167e-05,0.203844,3454.85
5.08223e+07,-0.482281,0.105392,-0.869654,-7.74409e-05,0,-1.0263e-05,0.24114,3454.85
5.88163e+07,-0.393684,0.375227,-0.839177,-7.18066e-05,1.11729e-05,-1.04167e-05,0.196842,3454.85
4.92811e+07,-0.474343,0.417544,-0.775019,-7.74409e-05,1.11729e-05,-7.3717e-06,0.237172,3454.85
6.53883e+07,-0.232782,0.0613558,-0.970592,-6.57074e-05,0,-1.42091e-05,0.116391,3454.85
6.61644e+07,-0.292018,0.306675,-0.905912,-6.57074e-05,1.11729e-05,-1.26518e-05,0.146009,3454.85
6.73976e+07,-0.328741,0.388007,-0.861034,-6.57074e-05,1.62974e-05,-1.04167e-05,0.164371,3454.85
6.65358e+07,-0.393323,0.662478,-0.637511,-6.57074e-05,2.23459e-05,-5.4256e-06,0.196661,3454.85
4.33172e+07,-0.719436,0.594491,-0.359155,-8.31241e-05,1.11729e-05,0,0.359718,3454.85
5.14897e+07,-0.645707,0.686806,-0.333705,-7.74409e-05,1.64358e-05,0,0.322854,3454.85
8.08368e+07,-0.146234,0.0542378,-0.987762,-5.39739e-05,0,-1.6499e-05,0.0731172,3454.85
8.27806e+07,-0.15589,0.201215,-0.967063,-5.39739e-05,1.11729e-05,-1.52304e-05,0.0779448,3454.85
3.85887e+07,-0.6936,0.154494,-0.703598,-8.54745e-05,0,-5.20833e-06,0.3468,3454.85
4.00079e+07,-0.755752,0.336393,-0.561852,-8.42163e-05,5.58647e-06,-5.20833e-06,0.377876,3454.85
3.7676e+07,-0.817065,0.369934,-0.442215,-8.70352e-05,5.58647e-06,0,0.408532,3454.85
4.07705e+07,-0.539188,0.120068,-0.833583,-8.33076e-05,0,-6.76902e-06,0.269594,3454.85
4.08258e+07,-0.557924,0.247188,-0.792224,-8.33076e-05,5.58647e-06,-5.89801e-06,0.278962,3454.85
5.33211e+07,-0.40511,0.228219,-0.885326,-7.58431e-05,5.58647e-06,-1.04167e-05,0.202555,3454.85
5.00444e+07,-0.484615,0.184139,-0.855126,-7.74409e-05,5.58647e-06,-9.58602e-06,0.242308,3454.85
5.79218e+07,-0.305574,0.0729109,-0.949373,-7.15741e-05,0,-1.25317e-05,0.152787,3454.85
5.80546e+07,-0.328974,0.158073,-0.931015,-7.15741e-05,5.58647e-06,-1.2072e-05,0.164487,3454.85
6.54557e+07,-0.253458,0.129652,-0.958619,-6.57074e-05,5.58647e-06,-1.38404e-05,0.126729,3454.85
5.90397e+07,-0.340439,0.319481,-0.884327,-7.15741e-05,1.11729e-05,-1.05105e-05,0.170219,3454.85
5.90346e+07,-0.376783,0.452702,-0.808143,-7.15741e-05,1.13665e-05,-1.04167e-05,0.188392,3454.85
5.75531e+07,-0.433682,0.55954,-0.706283,-7.15741e-05,1.67594e-05,-7.17606e-06,0.216841,3454.85
6.72941e+07,-0.370154,0.507213,-0.77828,-6.57074e-05,1.67594e-05,-1.01902e-05,0.185077,3454.85
6.84079e+07,-0.321516,0.463133,-0.825915,-6.51772e-05,1.67594e-05,-1.04167e-05,0.160758,3454.85
4.08351e+07,-0.651875,0.437916,-0.619103,-8.33076e-05,6.9255e-06,-5.20833e-06,0.325938,3454.85
4.60288e+07,-0.6604,0.563559,-0.496259,-8.0524e-05,1.11729e-05,-5.20833e-06,0.3302,3454.85
4.92529e+07,-0.531331,0.592601,-0.605402,-7.74409e-05,1.39207e-05,-5.20833e-06,0.265665,3454.85
4.28032e+07,-0.766214,0.508473,-0.392901,-8.33076e-05,1.0876e-05,0,0.383107,3454.85
5.45416e+07,-0.564689,0.69703,-0.4419,-7.44338e-05,1.67594e-05,-5.20833e-06,0.282344,3454.85
5.22069e+07,-0.610043,0.72732,-0.314409,-7.71181e-05,1.67594e-05,0,0.305021,3454.85
5.75142e+07,-0.477527,0.718072,-0.506301,-7.15741e-05,1.86742e-05,-5.20833e-06,0.238763,3454.85
6.62497e+07,-0.475721,0.77926,-0.407975,-6.60266e-05,2.23459e-05,-5.20833e-06,0.23786,3454.85
6.65802e+07,-0.419001,0.787955,-0.451181,-6.57074e-05,2.25157e-05,-5.20833e-06,0.209501,3454.85
5.92275e+07,-0.538634,0.785957,-0.303554,-7.15741e-05,2.06416e-05,0,0.269317,3454.85
8.14122e+07,-0.156869,0.113667,-0.981057,-5.39739e-05,5.58647e-06,-1.61761e-05,0.0784346,3454.85
7.49107e+07,-0.174351,0.0570429,-0.98303,-5.89173e-05,0,-1.5625e-05,0.0871756,3454.85
7.35161e+07,-0.191954,0.0565189,-0.979775,-5.98407e-05,0,-1.546e-05,0.095977,3454.85
