Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
4.13293e+07,-0.311092,0.925622,-0.215512,-0.000123445,3.20838e-05,0,0.155546,3454.85
3.62367e+07,-0.348081,0.904029,-0.248137,-0.000133934,2.83853e-05,0,0.17404,3454.85
3.1116e+07,-0.387615,0.862356,-0.325725,-0.000140083,2.43543e-05,-6.76542e-06,0.193807,3454.85
3.00186e+07,-0.356174,0.918436,-0.172091,-0.000140872,2.5316e-05,0,0.178087,3454.85
2.80358e+07,-0.451679,0.852125,-0.264326,-0.000148275,2.28344e-05,0,0.225839,3454.85
3.66515e+07,-0.293638,0.694306,-0.657051,-0.0001243,2.303e-05,-1.78735e-05,0.146819,3454.85
3.49195e+07,-0.294236,0.722463,-0.625678,-0.000128914,2.3192e-05,-1.5485e-05,0.147118,3454.85
3.38852e+07,-0.337678,0.595834,-0.728667,-0.000128605,1.75347e-05,-2.04355e-05,0.168839,3454.85
3.63797e+07,-0.263074,0.630853,-0.729943,-0.000119477,1.96742e-05,-2.26972e-05,0.131537,3454.85
1.90351e+07,-0.594502,0.173119,-0.785237,-0.000179553,3.08549e-21,-3.1585e-06,0.297251,3454.85
1.95008e+07,-0.555536,0.31921,-0.767779,-0.000178011,2.27279e-06,-3.82502e-06,0.277768,3454.85
1.98203e+07,-0.416795,0.608518,-0.675268,-0.000175109,8.84234e-06,0,0.208398,3454.85
1.93029e+07,-0.797195,0.358635,-0.485655,-0.00018273,3.32557e-21,0,0.398598,3454.85
1.89641e+07,-0.687965,0.397656,-0.607103,-0.000180582,2.14208e-06,-1.94486e-06,0.343982,3454.85
1.90488e+07,-0.731771,0.604109,-0.315539,-0.00018134,2.24005e-06,0,0.365885,3454.85
1.87488e+07,-0.683398,0.184494,-0.70635,-0.000181163,3.19436e-21,-1.94206e-06,0.341699,3454.85
1.88226e+07,-0.591297,0.163436,-0.789719,-0.000179553,3.08549e-21,-3.1585e-06,0.295648,3454.85
1.88472e+07,-0.539311,0.459769,-0.705518,-0.000178011,2.27279e-06,-3.82502e-06,0.269656,3454.85
4.23535e+07,-0.224766,0.534428,-0.81478,-0.000102805,2.10313e-05,-2.68583e-05,0.112383,3454.85
4.50978e+07,-0.225723,0.693183,-0.684504,-9.9304e-05,2.38735e-05,-2.58513e-05,0.112862,3454.85
4.2269e+07,-0.280565,0.62058,-0.732232,-0.000102805,2.10313e-05,-2.68583e-05,0.140283,3454.85
2.01272e+07,-0.435478,0.865243,-0.248423,-0.000160321,1.5838e-05,0,0.217739,3454.85
3.52748e+07,-0.332297,0.12003,-0.935506,-0.000111683,5.7569e-22,-3.31712e-05,0.166149,3454.85
3.71305e+07,-0.316883,0.0730582,-0.945647,-0.000107233,5.7569e-22,-3.44407e-05,0.158441,3454.85
3.67387e+07,-0.342012,0.11199,-0.932998,-0.000107589,2.73815e-06,-3.41098e-05,0.171006,3454.85
3.75757e+07,-0.224766,0.534428,-0.81478,-0.000109114,1.59781e-05,-2.84324e-05,0.112383,3454.85
3.76191e+07,-0.224766,0.534428,-0.81478,-0.000111903,1.72306e-05,-2.68415e-05,0.112383,3454.85
3.68725e+07,-0.28916,0.485698,-0.824915,-0.000114798,1.41385e-05,-2.8103e-05,0.14458,3454.85
3.78847e+07,-0.272741,0.467521,-0.840855,-0.000111115,1.33582e-05,-2.96943e-05,0.136371,3454.85
3.72789e+07,-0.221935,0.548558,-0.80612,-0.000111638,1.52437e-05,-2.82975e-05,0.110968,3454.85
3.4277e+07,-0.324019,0.330988,-0.886261,-0.00011636,8.35702e-06,-2.99253e-05,0.16201,3454.85
3.83203e+07,-0.231828,0.562072,-0.793934,-0.000109114,1.59781e-05,-2.84324e-05,0.115914,3454.85
3.82766e+07,-0.233735,0.574057,-0.784746,-0.000111903,1.72306e-05,-2.68415e-05,0.116868,3454.85
4.11921e+07,-0.323386,0.287168,-0.901641,-0.00010053,8.10375e-06,-3.5688e-05,0.161693,3454.85
4.17442e+07,-0.327059,0.390605,-0.8605,-0.000102149,1.18849e-05,-3.36456e-05,0.16353,3454.85
4.41113e+07,-0.271236,0.785029,-0.556921,-0.000111697,2.88217e-05,-1.61628e-05,0.135618,3454.85
4.39073e+07,-0.281671,0.749276,-0.599372,-0.000111833,2.86447e-05,-1.63312e-05,0.140836,3454.85
4.39607e+07,-0.300843,0.725881,-0.618539,-0.000111714,2.86593e-05,-1.63727e-05,0.150421,3454.85
