Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
9.83837e+07,-0.0196199,0.878249,-0.4778,-2.55593e-05,4.22643e-05,-9.98321e-06,0.00980995,3454.85
9.35585e+07,-0.0138622,0.939483,-0.342316,-3.25046e-05,4.17124e-05,-9.4421e-06,0.00693112,3454.85
9.61837e+07,-0.0335794,0.894612,-0.445581,-2.66831e-05,4.1298e-05,-1.15817e-05,0.0167897,3454.85
9.53274e+07,-0.194727,0.930364,-0.31065,-3.23525e-05,4.55878e-05,0,0.0973635,3454.85
9.17611e+07,-0.0312844,0.96941,-0.243443,-3.64075e-05,4.2964e-05,-5.31617e-06,0.0156422,3454.85
8.94521e+07,-0.0314908,0.909106,-0.415372,-3.68271e-05,4.10861e-05,-1.09e-05,0.0157454,3454.85
1.17254e+08,-0.102497,0.920816,-0.376286,-3.25046e-05,4.17124e-05,-9.4421e-06,0.0512486,3454.85
1.11758e+08,-0.102497,0.920816,-0.376286,-3.64075e-05,4.2964e-05,-5.31617e-06,0.0512486,3454.85
8.36905e+07,-0.011456,0.905686,-0.423794,-4.17157e-05,3.89531e-05,-1.53264e-05,0.00572801,3454.85
9.41583e+07,-0.194727,0.930364,-0.31065,-3.58868e-05,4.4848e-05,0,0.0973635,3454.85
1.0368e+08,-0.0572647,0.934922,-0.350203,-3.23525e-05,4.55878e-05,0,0.0286323,3454.85
9.80451e+07,-0.0313709,0.844514,-0.534614,-3.5355e-05,3.65982e-05,-2.00966e-05,0.0156854,3454.85
8.60051e+07,-0.15079,0.889394,-0.431556,-3.64126e-05,3.90416e-05,-1.59494e-05,0.0753952,3454.85
8.76936e+07,-0.0676739,0.901967,-0.426468,-3.49942e-05,3.99686e-05,-1.47937e-05,0.033837,3454.85
9.82792e+07,-0.0020024,0.859339,-0.511403,-3.30656e-05,3.63442e-05,-2.04381e-05,0.0010012,3454.85
9.48396e+07,-0.00593822,0.866659,-0.498866,-2.95828e-05,3.72663e-05,-1.89023e-05,0.00296911,3454.85
1.25883e+08,-0.00476535,0.948016,-0.318188,-2.67135e-05,4.45291e-05,-3.1681e-06,0.00238268,3454.85
1.15739e+08,-0.00411356,0.945883,-0.324481,-2.49547e-05,4.56235e-05,0,0.00205678,3454.85
1.22325e+08,-0.0556717,0.936707,-0.345659,-2.82909e-05,4.36007e-05,-5.969e-06,0.0278359,3454.85
1.2214e+08,-0.102497,0.920816,-0.376286,-3.10277e-05,4.18298e-05,-9.55716e-06,0.0512486,3454.85
1.23668e+08,-0.0520682,0.935126,-0.350469,-2.99774e-05,4.44258e-05,-3.49047e-06,0.0260341,3454.85
1.23135e+08,-0.102497,0.920816,-0.376286,-3.04215e-05,4.36261e-05,-5.3264e-06,0.0512486,3454.85
1.22326e+08,-0.102497,0.920816,-0.376286,-3.14371e-05,4.17972e-05,-9.52527e-06,0.0512486,3454.85
1.2258e+08,-0.102497,0.920816,-0.376286,-3.47323e-05,4.40479e-05,-3.12e-06,0.0512486,3454.85
1.22326e+08,-0.102497,0.920816,-0.376286,-3.52943e-05,4.36843e-05,-3.85674e-06,0.0512486,3454.85
1.11697e+08,-0.00469892,0.945554,-0.32543,-2.87157e-05,4.56334e-05,0,0.00234946,3454.85
1.14295e+08,-0.0119286,0.786778,-0.617121,-2.81307e-05,2.43966e-05,-3.97985e-05,0.0059643,3454.85
1.22221e+08,-0.00849628,0.797472,-0.603296,-2.75848e-05,2.21962e-05,-4.27844e-05,0.00424814,3454.85
8.54173e+07,-0.0721454,0.856398,-0.511252,-3.61259e-05,3.3071e-05,-2.63948e-05,0.0360727,3454.85
8.00622e+07,-0.1149,0.84592,-0.520785,-4.0857e-05,3.44591e-05,-2.35158e-05,0.0574502,3454.85
8.61724e+07,-0.0522899,0.866422,-0.496566,-3.60108e-05,3.24713e-05,-2.73777e-05,0.026145,3454.85
8.60284e+07,-0.0759736,0.844438,-0.530239,-3.60237e-05,3.10015e-05,-3.02492e-05,0.0379868,3454.85
8.50914e+07,-0.120633,0.815973,-0.565363,-3.75351e-05,2.85263e-05,-3.33217e-05,0.0603167,3454.85
8.39335e+07,-0.169434,0.809639,-0.56194,-3.79068e-05,2.82555e-05,-3.36189e-05,0.0847168,3454.85
8.77672e+07,-0.0697427,0.856565,-0.511305,-3.5167e-05,3.30522e-05,-2.65825e-05,0.0348714,3454.85
8.12386e+07,-0.128893,0.741449,-0.658514,-4.1313e-05,2.38048e-05,-3.86475e-05,0.0644464,3454.85
7.75345e+07,-0.184039,0.776655,-0.602442,-4.23277e-05,2.72195e-05,-3.44987e-05,0.0920195,3454.85
8.09827e+07,-0.141164,0.767878,-0.624849,-4.13856e-05,2.41296e-05,-3.81894e-05,0.0705822,3454.85
7.19122e+07,-0.191229,0.76501,-0.614973,-4.5389e-05,2.65087e-05,-3.38779e-05,0.0956146,3454.85
7.13841e+07,-0.149513,0.798564,-0.583045,-4.6707e-05,2.98221e-05,-2.91669e-05,0.0747564,3454.85
7.69451e+07,-0.163084,0.819044,-0.550064,-4.31616e-05,2.82109e-05,-3.2716e-05,0.081542,3454.85
7.97418e+07,-0.105636,0.812827,-0.572847,-4.11275e-05,3.06702e-05,-2.94105e-05,0.0528179,3454.85
6.82142e+07,-0.190759,0.745806,-0.638267,-4.84169e-05,2.61867e-05,-3.38315e-05,0.0953795,3454.85
6.92568e+07,-0.15524,0.782333,-0.603204,-4.84831e-05,3.00856e-05,-2.85251e-05,0.0776202,3454.85
6.15332e+07,-0.228186,0.739288,-0.633549,-5.54007e-05,2.63387e-05,-3.04262e-05,0.114093,3454.85
7.51878e+07,-0.182558,0.842953,-0.506066,-5.27211e-05,3.76366e-05,-1.53348e-05,0.0912791,3454.85
6.57393e+07,-0.180507,0.805459,-0.564493,-5.50674e-05,3.2382e-05,-2.3353e-05,0.0902537,3454.85
6.89705e+07,-0.146605,0.812301,-0.564512,-4.92515e-05,3.09863e-05,-2.72042e-05,0.0733027,3454.85
6.12881e+07,-0.208238,0.750114,-0.627667,-5.59158e-05,2.69623e-05,-2.95177e-05,0.104119,3454.85
7.0081e+07,-0.173323,0.834089,-0.523693,-5.13613e-05,3.417e-05,-2.12162e-05,0.0866616,3454.85
9.38933e+07,-0.382041,0.397379,-0.834347,-3.85182e-05,1.13955e-05,-4.96175e-05,0.191021,3454.85
9.46184e+07,-0.0783078,0.825695,-0.558655,-3.2455e-05,2.65951e-05,-3.68136e-05,0.0391539,3454.85
9.47726e+07,-0.109294,0.776977,-0.619969,-3.45888e-05,2.42239e-05,-3.97629e-05,0.0546471,3454.85
8.97839e+07,-0.148697,0.775718,-0.613311,-3.64468e-05,2.60352e-05,-3.76024e-05,0.0743486,3454.85
8.56681e+07,-0.143297,0.82837,-0.541544,-3.74558e-05,2.80292e-05,-3.41143e-05,0.0716484,3454.85
8.40457e+07,-0.126588,0.80421,-0.580709,-3.79947e-05,2.79915e-05,-3.39548e-05,0.0632942,3454.85
1.38373e+08,-0.037698,0.720818,-0.692098,-2.57015e-05,1.89805e-05,-4.6429e-05,0.018849,3454.85
1.32102e+08,-0.045508,0.733343,-0.678334,-2.66098e-05,1.91504e-05,-4.60937e-05,0.022754,3454.85
1.35853e+08,-0.022285,0.739448,-0.672845,-2.5757e-05,1.95291e-05,-4.57917e-05,0.0111425,3454.85
1.50116e+08,-0.0340845,0.681645,-0.730888,-2.4713e-05,1.64624e-05,-4.86054e-05,0.0170423,3454.85
1.31325e+08,-0.0391618,0.703568,-0.709548,-2.88344e-05,1.68312e-05,-4.8562e-05,0.0195809,3454.85
5.73124e+07,-0.414928,0.428954,-0.802392,-5.70187e-05,1.43033e-05,-4.01603e-05,0.207464,3454.85
6.3438e+07,-0.431857,0.373807,-0.820834,-5.24798e-05,1.14652e-05,-4.35138e-05,0.215928,3454.85
5.87813e+07,-0.390044,0.363831,-0.845868,-5.5609e-05,1.16821e-05,-4.20957e-05,0.195022,3454.85
6.04898e+07,-0.373978,0.464896,-0.802504,-5.36248e-05,1.44327e-05,-4.13923e-05,0.186989,3454.85
5.31075e+07,-0.425913,0.374011,-0.823841,-6.02273e-05,9.94162e-06,-4.01135e-05,0.212956,3454.85
5.51565e+07,-0.420132,0.45008,-0.787983,-5.88878e-05,1.51947e-05,-3.85408e-05,0.210066,3454.85
6.09805e+07,-0.343262,0.544776,-0.765108,-5.50455e-05,1.73149e-05,-3.89699e-05,0.171631,3454.85
5.38879e+07,-0.425653,0.322104,-0.845617,-5.9701e-05,8.28436e-06,-4.11225e-05,0.212826,3454.85
5.3381e+07,-0.419428,0.214013,-0.882201,-6.02035e-05,6.64457e-06,-4.14081e-05,0.209714,3454.85
5.22466e+07,-0.379586,0.329865,-0.864352,-6.12568e-05,7.87113e-06,-4.06576e-05,0.189793,3454.85
