case_id,power_w,velocity_m_s,actual_amplitude,predicted_amplitude,actual_rear_scale,predicted_rear_scale,actual_front_scale,predicted_front_scale,actual_width_scale,predicted_width_scale,actual_depth_scale,predicted_depth_scale,actual_x_shift_over_sigma,predicted_x_shift_over_sigma
alloy0_50W_0.1ms,50.0,0.1,0.9770322790307482,1.1703923920495398,0.45273428199430227,0.34805097557271486,0.7161987969715318,0.6719047123456114,0.6043492869228343,0.6465957410084311,0.7069180465748134,1.2480377420240092,0.0027187918798929943,0.11061710207258653
alloy0_50W_0.5ms,50.0,0.5,1.1468950919519083,1.343977744474823,0.5502274822677022,0.44989624213492435,0.6908588695101399,0.6393605369803759,0.7045527382989971,0.5808504509390694,0.8961059399028777,0.8467510858531035,0.1436778532127878,0.027273609072627634
alloy0_50W_1ms,50.0,1.0,1.340820044791507,1.4357642145177165,0.5021008803152873,0.5775484445253798,0.5911787512228458,0.6051829039021138,0.6486225642998281,0.6122051965611582,0.9999999908662052,0.8489140870561545,0.10583862221443907,0.09359664026820627
alloy0_50W_1.5ms,50.0,1.5,1.5075251993820815,1.017924461721418,0.49874714845482293,0.7587112509278177,0.5366583861908136,0.5524809689552751,0.5850761390213384,0.7464752482704526,0.9790189409401542,1.0976842121784631,0.11177396392106331,0.18438051400671235
alloy0_150W_0.1ms,150.0,0.1,0.8784510757271213,1.041883185171982,0.540757235825267,0.4333959985535125,0.7802984045957397,0.6853253912683002,0.7563982192349767,0.6388915058011684,2.7342933413796544,1.073904177380616,-0.011538666825451127,0.02626913225063845
alloy0_150W_0.5ms,150.0,0.5,2.0515812135948224,1.08496123234548,0.370921503986994,0.5994993239848291,0.5928724223021411,0.6911684795805176,0.5082450560731924,0.7289189171969196,0.880350252610766,1.2849271085857865,0.010963403214580225,0.04444633319131444
alloy0_150W_1ms,150.0,1.0,1.339714787415179,1.5599504656903462,0.6727887818188866,0.5573590425160933,0.5434756110095893,0.6236445106754113,0.69689350338001,0.6546033060755266,0.9092790691503851,0.9715678567438569,0.10818179558503209,0.05896217101743432
alloy0_150W_1.5ms,150.0,1.5,1.500013605881195,1.5114969847127064,0.640295120234925,0.5687145027130687,0.5236166485841554,0.5431349504484958,0.643433972714684,0.6868722702507547,0.920931748485808,0.8118666372546387,0.08128695270797935,0.13293712684453277
alloy0_250W_0.1ms,250.0,0.1,0.8619214319663527,0.6448860046368152,0.3380512961140355,0.7595768347058599,0.5655738558523994,0.8675862659484826,0.5796575002173876,0.8234633755546675,2.414693080850603,3.415602733521404,0.012461617800585623,-0.036518765287231636
alloy0_250W_1ms,250.0,1.0,1.0,1.344475872539148,1.0,0.5746830840161021,1.0,0.5119982721577523,1.0,0.6152458005412202,1.0,1.3772126005035228,0.0,0.06236307108691716
alloy0_250W_1.5ms,250.0,1.5,1.0751882962035095,1.5064304718403334,0.7329407416785804,0.6081343742947517,0.5122661801856428,0.5554362698704017,0.7234826661201819,0.6881880785778466,0.9578824980069345,0.8371460127740348,0.15449002111903634,0.0609319491847808
alloy0_350W_0.1ms,350.0,0.1,0.34042966817502307,0.5070541137755773,1.197036410132964,0.3843689555156833,1.008101124932478,0.562682172681393,1.0332246831197047,0.5140107792842153,7.010717594005665,8.0,-0.017185081040933043,-0.10534174349793994
alloy0_350W_0.5ms,350.0,0.5,0.5918844220964421,0.5734093107704462,0.6326739955570617,0.918831620210876,0.6489585494901151,0.7685052596470502,0.6118291362192818,0.8419031039681335,4.594812898208888,3.9718933024943484,-0.0754608267104091,0.0028702998986323697
alloy0_350W_1ms,350.0,1.0,0.8123687355436922,0.7859116751692907,0.7910642889550838,0.8296705307047958,0.5139328064423792,0.7183923236125854,0.6467109453493878,0.7848275078403123,2.8388634831316915,1.7535648673276787,0.018575498413134994,0.018540845657365482
alloy0_350W_1.5ms,350.0,1.5,1.1337707982772607,0.6502388840949807,0.6303294878363759,1.0548017585583207,0.575477660261916,0.5190793204243299,0.7195445592286744,0.7263861896277028,0.9458970564723335,1.540851898414374,0.06837483123726074,0.07137167037066308
