delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
442.425,223.379,20.7422,-0.847974,-0.032123,-0.528355,-152.708,0.5,-8.26781,0.423987,4054.75,3454.85,3017.02,3454.85,3892.67,3012.42
438.247,222.4,21.0992,-0.847854,-0.0222605,-0.528518,-152.322,1,-8.8092,0.423927,4054.47,3454.85,3018.94,3454.85,3890.75,3016.6
430.076,221.701,21.4681,-0.84773,-0.0150255,-0.528839,-151.774,1,-9.64177,0.423865,4055.29,3454.85,3020.31,3454.85,3889.38,3024.77
443.356,223.455,20.6805,-0.847645,-0.0328526,-0.528842,-152.772,0.5,-8.18174,0.423822,4054.5,3454.85,3016.88,3454.85,3892.82,3011.49
439.178,222.476,21.0373,-0.847524,-0.0229901,-0.529005,-152.386,1,-8.72313,0.423762,4054.22,3454.85,3018.79,3454.85,3890.9,3015.67
435,221.497,21.3961,-0.847404,-0.0131275,-0.529168,-152,1.5,-9.26452,0.423702,4053.95,3454.85,3020.71,3454.85,3888.98,3019.85
444.286,223.53,20.6188,-0.847315,-0.0335822,-0.529329,-152.836,0.5,-8.09567,0.423657,4054.25,3454.85,3016.73,3454.85,3892.97,3010.56
440.108,222.551,20.9755,-0.847195,-0.0237197,-0.529491,-152.45,1,-8.63706,0.423597,4053.97,3454.85,3018.65,3454.85,3891.05,3014.74
435.93,221.572,21.3341,-0.847074,-0.0138571,-0.529654,-152.064,1.5,-9.17844,0.423537,4053.7,3454.85,3020.56,3454.85,3889.13,3018.92
445.216,223.606,20.5571,-0.846985,-0.0343118,-0.529815,-152.901,0.5,-8.0096,0.423492,4054,3454.85,3016.58,3454.85,3893.11,3009.63
441.038,222.627,20.9136,-0.846865,-0.0244493,-0.529978,-152.515,1,-8.55098,0.423432,4053.73,3454.85,3018.5,3454.85,3891.19,3013.81
436.86,221.648,21.2721,-0.846744,-0.0145867,-0.530141,-152.129,1.5,-9.09237,0.423372,4053.45,3454.85,3020.42,3454.85,3889.28,3017.99
446.146,223.681,20.4954,-0.846655,-0.0350414,-0.530302,-152.965,0.5,-7.92352,0.423328,4053.75,3454.85,3016.43,3454.85,3893.26,3008.7
416.71,221.791,21.6719,-0.846608,-0.0152345,-0.530934,-151.096,0,-10.7985,0.423304,4057.54,3454.85,3020.14,3454.85,3889.56,3038.14
441.968,222.702,20.8518,-0.846535,-0.0251789,-0.530464,-152.579,1,-8.46491,0.423267,4053.48,3454.85,3018.35,3454.85,3891.34,3012.88
437.79,221.723,21.2102,-0.846415,-0.0153163,-0.530627,-152.193,1.5,-9.0063,0.423207,4053.2,3454.85,3020.27,3454.85,3889.42,3017.06
421.633,221.586,21.5999,-0.846282,-0.0133365,-0.531263,-151.322,0.5,-10.4212,0.423141,4056.2,3454.85,3020.54,3454.85,3889.15,3033.21
442.899,222.778,20.79,-0.846205,-0.0259085,-0.530951,-152.643,1,-8.37884,0.423102,4053.23,3454.85,3018.2,3454.85,3891.49,3011.95
447.466,223.688,20.4193,-0.846145,-0.0360602,-0.531114,-153.057,0.5,-7.8125,0.423072,4053.25,3454.85,3016.42,3454.85,3893.27,3007.38
438.721,221.799,21.1482,-0.846085,-0.0160459,-0.531114,-152.257,1.5,-8.92023,0.423042,4052.95,3454.85,3020.12,3454.85,3889.57,3016.13
426.556,221.381,21.5279,-0.845956,-0.0114385,-0.531592,-151.548,1,-10.044,0.422978,4054.86,3454.85,3020.94,3454.85,3888.75,3028.29
443.829,222.854,20.7282,-0.845875,-0.0266381,-0.531438,-152.708,1,-8.29277,0.422938,4052.98,3454.85,3018.05,3454.85,3891.64,3011.02
439.651,221.875,21.0863,-0.845755,-0.0167755,-0.5316,-152.322,1.5,-8.83415,0.422877,4052.7,3454.85,3019.97,3454.85,3889.72,3015.2
431.48,221.176,21.4561,-0.845631,-0.00954055,-0.531921,-151.774,1.5,-9.66672,0.422815,4053.52,3454.85,3021.34,3454.85,3888.35,3023.37
444.759,222.929,20.6664,-0.845545,-0.0273677,-0.531924,-152.772,1,-8.20669,0.422773,4052.73,3454.85,3017.91,3454.85,3891.79,3010.09
440.581,221.95,21.0244,-0.845425,-0.0175051,-0.532087,-152.386,1.5,-8.74808,0.422713,4052.45,3454.85,3019.82,3454.85,3889.87,3014.27
436.403,220.971,21.3843,-0.845305,-0.00764256,-0.53225,-152,2,-9.28947,0.422652,4052.18,3454.85,3021.74,3454.85,3887.95,3018.44
445.689,223.005,20.6047,-0.845215,-0.0280973,-0.532411,-152.836,1,-8.12062,0.422608,4052.48,3454.85,3017.76,3454.85,3891.94,3009.16
441.511,222.026,20.9625,-0.845095,-0.0182347,-0.532574,-152.45,1.5,-8.66201,0.422548,4052.2,3454.85,3019.68,3454.85,3890.02,3013.33
437.333,221.047,21.3223,-0.844975,-0.00837216,-0.532736,-152.064,2,-9.20339,0.422488,4051.93,3454.85,3021.59,3454.85,3888.1,3017.51
446.619,223.08,20.5429,-0.844886,-0.0288269,-0.532897,-152.901,1,-8.03455,0.422443,4052.23,3454.85,3017.61,3454.85,3892.08,3008.23
413.19,221.47,21.7319,-0.844834,-0.0116476,-0.533687,-150.87,0,-11.2007,0.422417,4057.11,3454.85,3020.76,3454.85,3888.93,3041.66
442.441,222.101,20.9006,-0.844765,-0.0189643,-0.53306,-152.515,1.5,-8.57593,0.422383,4051.96,3454.85,3019.53,3454.85,3890.16,3012.4
438.263,221.122,21.2603,-0.844645,-0.00910175,-0.533223,-152.129,2,-9.11732,0.422323,4051.68,3454.85,3021.45,3454.85,3888.25,3016.58
418.113,221.265,21.6601,-0.844508,-0.00974957,-0.534016,-151.096,0.5,-10.8234,0.422254,4055.77,3454.85,3021.17,3454.85,3888.53,3036.73
450.365,224.731,20.1792,-0.844488,-0.0464588,-0.532618,-153.335,0,-7.32422,0.422244,4050.63,3454.85,3014.37,3454.85,3895.32,3004.48
443.372,222.177,20.8388,-0.844436,-0.0196939,-0.533547,-152.579,1.5,-8.48986,0.422218,4051.71,3454.85,3019.38,3454.85,3890.31,3011.47
447.939,223.087,20.4667,-0.844375,-0.0298456,-0.533709,-152.992,1,-7.92352,0.422188,4051.73,3454.85,3017.6,3454.85,3892.1,3006.91
439.194,221.198,21.1983,-0.844315,-0.00983135,-0.533709,-152.193,2,-9.03125,0.422158,4051.43,3454.85,3021.3,3454.85,3888.39,3015.65
423.036,221.06,21.5883,-0.844183,-0.00785158,-0.534345,-151.322,1,-10.4462,0.422091,4054.43,3454.85,3021.57,3454.85,3888.12,3031.81
444.302,222.252,20.7769,-0.844106,-0.0204235,-0.534033,-152.643,1.5,-8.40379,0.422053,4051.46,3454.85,3019.23,3454.85,3890.46,3010.54
440.124,221.274,21.1363,-0.843985,-0.010561,-0.534196,-152.257,2,-8.94518,0.421993,4051.18,3454.85,3021.15,3454.85,3888.54,3014.72
449.258,223.094,20.3906,-0.843865,-0.0308643,-0.534521,-153.084,1,-7.8125,0.421932,4051.22,3454.85,3017.58,3454.85,3892.11,3005.59
427.96,220.856,21.5166,-0.843857,-0.00595359,-0.534674,-151.548,1.5,-10.0689,0.421929,4053.09,3454.85,3021.97,3454.85,3887.72,3026.89
445.232,222.328,20.7151,-0.843776,-0.0211531,-0.53452,-152.708,1.5,-8.31772,0.421888,4051.21,3454.85,3019.08,3454.85,3890.61,3009.61
441.054,221.349,21.0743,-0.843656,-0.0112906,-0.534683,-152.322,2,-8.8591,0.421828,4050.93,3454.85,3021,3454.85,3888.69,3013.79
