x,y,z,nearest_et_grid_distance_um,T_ET,T_TCAM,P,V,A,k,Cp,rho,Tliq,Tevap,case_id,T_warped_ET,r_3d,delta_T_warped,delta_T,rear_liquidus_sample
44.62064145534361,17.487254378135685,-43.74999999999999,0.8429732432480134,442.6705415977132,519.9778986269181,50.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.5ms,413.7731421234877,64.89120286735293,106.20475650343042,106.20475650343042,False
-591.9569995644013,198.77552088769835,-95.76891453687763,0.8103592882077736,704.7117011152651,744.6935509673128,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,298.0,631.7408345429604,446.69355096731283,446.69355096731283,False
23.972094692284458,18.749999999999996,-2.604166666666666,0.9634812231225733,993.2311561926224,952.0616533560841,50.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1.5ms,987.837030020067,30.545138859786356,-35.77537666398291,-35.77537666398291,False
-94.2819,31.758099999999995,-48.09035,0.3822909134415745,2466.493108963622,3217.74784638032,350.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1ms,3250.4663216566623,110.50038618187043,-32.71847527634236,-32.71847527634236,False
-241.3829211601714,200.0,-51.58008562742948,0.7464009477857848,611.3593376082051,857.9745490028774,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,298.0,317.6888727373851,559.9745490028774,559.9745490028774,False
-7.040078800216501,0.0,-10.416666666666668,1.0464510599664372,3428.6059293306926,4452.768412539098,150.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_1ms,4748.573696761229,12.572575470352218,-295.8052842221314,-295.8052842221314,False
-60.9521,23.6463,-40.643699999999995,1.2024756920619895,1842.367571943411,3381.34227774045,350.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1.5ms,3594.22121997022,76.9819222141796,-212.87894222977002,-212.87894222977002,False
18.212377765777788,58.56308433402359,-5.208333333333332,0.9944367218333783,684.1958656302744,494.00735929174033,50.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1ms,450.5230630830868,61.55040443984481,43.48429620865352,43.48429620865352,False
-135.8418699229441,6.611670007584813,-54.6875,0.9337031484623294,1300.3185375860949,1450.434782455996,250.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_1.5ms,1400.9364459651138,146.5859831658582,49.49833649088214,49.49833649088214,False
-45.172,19.1957,-20.797449999999998,1.4029999973271412,8598.434923759822,5338.5954844870585,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,6984.3328335091055,53.305894692730746,-1645.737349022047,-1645.737349022047,False
-50.79135000000001,88.6182,-2.842170943040401e-14,1.0041942354445257,5549.332925522685,3188.519352769624,250.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_0.1ms,2796.430861716741,102.14179656762701,392.088491052883,392.088491052883,False
109.10760747121306,200.0,-231.03012693028654,1.317959861600578,471.4451264464554,819.1987824017366,350.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.1ms,557.1248810739224,324.4678559696116,262.07390132781416,262.07390132781416,False
-3.5182800000000003,0.0,-96.87,0.9944617430549846,739.8926869595772,5792.901462015859,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,4570.323489708231,96.93387021138896,1222.5779723076275,1222.5779723076275,False
9.295302023539044,62.499999999999986,-18.229166666666664,0.8939332185008279,426.08611298864616,391.36980052392624,50.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1.5ms,341.98213404990355,65.7643912544617,49.387666474022694,49.387666474022694,False
-16.973753202248986,190.98663080580417,-203.125,1.6392866271192437,382.68843736449253,341.3296081030887,50.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.1ms,298.0,279.3273475142085,43.329608103088674,43.329608103088674,False
53.75021847378866,30.694279950932813,-35.15625000000001,1.120861063470301,1154.6684976063684,855.0782390065768,50.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.1ms,752.2627508762012,71.18417465805688,102.81548813037568,102.81548813037568,False
-8.71963,0.0,-33.383,0.9479221154187892,1902.295455497334,5792.901462015859,250.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_1ms,3955.7243477066913,34.50299459955469,1837.1771143091673,1837.1771143091673,False
-144.27690221911672,109.13521760331666,-171.87500000000003,0.9165961120172526,550.9910391481285,391.98786067504494,50.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.1ms,429.3749613805363,249.5342378517783,-37.38710070549138,-37.38710070549138,False
