Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
7.9102e+07,-0.410467,0.836542,-0.362923,-5.98813e-05,2.26047e-05,0,0.205234,3454.85
4.20744e+07,-0.402208,0.106443,-0.909339,-7.98418e-05,0,-6.21778e-06,0.201104,3454.85
3.35164e+07,-0.752638,0.240634,-0.612888,-8.69583e-05,0,0,0.376319,3454.85
4.36506e+07,-0.59492,0.648498,-0.47489,-7.98418e-05,9.67851e-06,-1.42737e-06,0.29746,3454.85
4.30947e+07,-0.584719,0.682323,-0.438793,-8.09129e-05,9.67851e-06,0,0.292359,3454.85
4.40123e+07,-0.52148,0.750568,-0.40584,-7.98418e-05,1.04035e-05,0,0.26074,3454.85
6.48235e+07,-0.284228,0.0794743,-0.955457,-6.93179e-05,0,-1.04167e-05,0.142114,3454.85
6.33887e+07,-0.32895,0.0877124,-0.940265,-6.98615e-05,0,-1.0232e-05,0.164475,3454.85
6.0704e+07,-0.346976,0.364961,-0.863951,-6.98615e-05,9.67851e-06,-8.37551e-06,0.173488,3454.85
8.06592e+07,-0.177043,0.0561119,-0.982602,-5.98813e-05,0,-1.26168e-05,0.0885216,3454.85
8.17513e+07,-0.216931,0.255029,-0.942285,-5.98813e-05,9.67851e-06,-1.13783e-05,0.108465,3454.85
7.521e+07,-0.251319,0.301649,-0.919699,-6.37253e-05,9.67851e-06,-1.04167e-05,0.125659,3454.85
8.23217e+07,-0.225732,0.342444,-0.912018,-5.98813e-05,1.22707e-05,-1.04167e-05,0.112866,3454.85
7.89013e+07,-0.309369,0.605467,-0.733281,-5.98813e-05,1.9357e-05,-6.34863e-06,0.154684,3454.85
6.08121e+07,-0.478236,0.795391,-0.372348,-6.98615e-05,1.72048e-05,0,0.239118,3454.85
6.81591e+07,-0.460188,0.817126,-0.347178,-6.64948e-05,1.9357e-05,0,0.230094,3454.85
9.96923e+07,-0.0920792,0.0436316,-0.994795,-4.99011e-05,0,-1.40168e-05,0.0460396,3454.85
1.00852e+08,-0.119727,0.204043,-0.971613,-4.99011e-05,9.67851e-06,-1.30852e-05,0.0598636,3454.85
1.22477e+08,-0.0210099,0.0349495,-0.999168,-3.99209e-05,0,-1.45996e-05,0.0105049,3454.85
1.23116e+08,-0.0388558,0.166502,-0.985275,-3.99209e-05,9.67851e-06,-1.3862e-05,0.0194279,3454.85
1.04285e+08,-0.144755,0.401689,-0.904263,-4.99011e-05,1.73131e-05,-1.04167e-05,0.0723775,3454.85
1.03276e+08,-0.185715,0.494226,-0.849265,-4.99011e-05,1.9357e-05,-9.50069e-06,0.0928573,3454.85
1.29765e+08,-0.0881867,0.415859,-0.905143,-3.99209e-05,1.9357e-05,-1.09035e-05,0.0440933,3454.85
1.20533e+08,-0.104465,0.427091,-0.898154,-4.38256e-05,1.9357e-05,-1.04167e-05,0.0522327,3454.85
1.30437e+08,-0.0786666,0.453825,-0.887611,-3.99209e-05,2.02307e-05,-1.04167e-05,0.0393333,3454.85
9.92621e+07,-0.316698,0.865054,-0.389081,-4.99011e-05,2.70392e-05,0,0.158349,3454.85
1.25132e+08,-0.270594,0.846507,-0.458481,-3.99209e-05,2.90355e-05,-3.14331e-06,0.135297,3454.85
1.13292e+08,-0.327239,0.846408,-0.420128,-4.39564e-05,2.90355e-05,0,0.16362,3454.85
1.21742e+08,-0.226114,0.867237,-0.443591,-3.99209e-05,3.05584e-05,0,0.113057,3454.85
4.22847e+07,-0.405567,0.226453,-0.88557,-7.98418e-05,4.83926e-06,-5.63725e-06,0.202784,3454.85
3.51753e+07,-0.718446,0.435259,-0.542572,-8.5369e-05,4.83926e-06,0,0.359223,3454.85
3.98657e+07,-0.571152,0.172979,-0.802411,-8.21894e-05,0,-5.20833e-06,0.285576,3454.85
3.51196e+07,-0.718515,0.23225,-0.655588,-8.48319e-05,0,-2.42565e-06,0.359258,3454.85
4.14786e+07,-0.554361,0.322242,-0.767362,-8.07845e-05,4.83926e-06,-5.20833e-06,0.277181,3454.85
3.55272e+07,-0.697048,0.397243,-0.596927,-8.48319e-05,4.83926e-06,-7.11286e-07,0.348524,3454.85
4.22975e+07,-0.544164,0.482941,-0.686042,-7.98418e-05,5.87362e-06,-5.20833e-06,0.272082,3454.85
4.86534e+07,-0.512495,0.600102,-0.614187,-7.68102e-05,9.67851e-06,-5.20833e-06,0.256248,3454.85
3.56372e+07,-0.62504,0.593833,-0.506643,-8.48319e-05,5.4098e-06,0,0.31252,3454.85
5.18085e+07,-0.364458,0.097409,-0.926111,-7.48516e-05,0,-8.43484e-06,0.182229,3454.85
