Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
1.1426e+08,-0.397825,0.112691,-0.910514,-1.34376e-05,3.41048e-06,-6.29843e-07,0.198913,3454.85
1.23096e+08,-0.246569,0.105571,-0.963358,-9.90136e-06,3.41048e-06,-1.94526e-06,0.123285,3454.85
1.2113e+08,-0.303184,0.229736,-0.924825,-9.90136e-06,6.82095e-06,-1.3478e-06,0.151592,3454.85
1.31152e+08,-0.117336,0.0968644,-0.988357,-6.36516e-06,3.41048e-06,-2.64071e-06,0.0586681,3454.85
1.37479e+08,-0.0156464,0.0928753,-0.995555,-2.82896e-06,3.41048e-06,-2.92442e-06,0.00782321,3454.85
1.3072e+08,-0.147162,0.213971,-0.965691,-6.36516e-06,6.82095e-06,-2.11682e-06,0.073581,3454.85
1.37325e+08,-0.0334915,0.203873,-0.978424,-2.82896e-06,6.82095e-06,-2.42993e-06,0.0167457,3454.85
1.17109e+08,-0.305256,0.339411,-0.88973,-9.90136e-06,1.02314e-05,-1.6712e-07,0.152628,3454.85
1.26316e+08,-0.189233,0.350687,-0.917175,-6.36516e-06,1.02314e-05,-1.12624e-06,0.0946166,3454.85
1.33186e+08,-0.0588761,0.344808,-0.936825,-2.82896e-06,1.02314e-05,-1.50762e-06,0.029438,3454.85
1.17353e+08,-0.399687,0.0643601,-0.91439,-1.34376e-05,0,-8.69892e-07,0.199843,3454.85
1.23921e+08,-0.291072,0.0566701,-0.955021,-9.90136e-06,0,-2.12916e-06,0.145536,3454.85
1.30533e+08,-0.151167,0.049665,-0.98726,-6.36516e-06,0,-2.80616e-06,0.0755833,3454.85
1.36335e+08,-0.0463801,0.0431047,-0.997993,-2.82896e-06,0,-3.06266e-06,0.02319,3454.85
1.26183e+08,-0.0232038,0.420195,-0.907137,-2.82896e-06,1.34793e-05,0,0.0116019,3454.85
1.11397e+08,-0.359209,0.25764,-0.89699,-1.31988e-05,6.82095e-06,0,0.179605,3454.85
1.16568e+08,-0.269628,0.398157,-0.876796,-9.90136e-06,1.06043e-05,0,0.134814,3454.85
