x,y,z,nearest_et_grid_distance_um,T_ET,T_TCAM,P,V,A,k,Cp,rho,Tliq,Tevap,case_id,T_warped_ET,r_3d,delta_T_warped,delta_T,rear_liquidus_sample
1.833724991315755,5.829084792711895,-43.74999999999999,0.34548427836198187,706.5643941927125,869.3609711572732,50.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.5ms,846.2720885072913,44.17469045578475,23.088882649981883,23.088882649981883,False
-150.808,122.28,-199.191,1.1771767072109567,355.37988448235274,620.7272106659018,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,669.7395033361015,278.1591374465344,-49.01229267019971,-49.01229267019971,False
-66.53479343164616,12.499999999999998,-36.45833333333333,0.8637554393323919,610.3544200998823,741.3884704788369,50.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1.5ms,824.9799949777102,76.89173431804143,-83.59152449887335,-83.59152449887335,False
-71.77940000000001,27.653599999999997,-37.9343,0.4159012022103342,3257.779885126119,3807.3704125652043,350.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1ms,4030.869823688757,85.7672138629325,-223.49941112355282,-223.49941112355282,False
-168.0595,1.02342e-14,-29.220200000000002,0.7820666787429592,4640.4650482829065,3679.422816130907,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,2768.1460066065865,170.58081846529524,911.2768095243205,911.2768095243205,False
10.560118200325078,22.34588950626185,-2.842170943040401e-14,0.6583099185622774,4070.5600120793574,4691.755881236085,150.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_1ms,4828.372317963609,24.71547843418979,-136.61643672752416,-136.61643672752416,False
-35.4159,22.0429,-46.355,0.6848636506633834,1073.8416083652855,3252.877569029253,350.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1.5ms,3038.6777550479987,62.36153813224943,214.19981398125447,214.19981398125447,False
66.42161302813064,10.184884232004102,-33.85416666666665,0.48291519529246063,324.37103842606587,332.9001385269625,50.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1ms,302.4123386164964,75.24405056064235,30.487799910466094,30.487799910466094,False
16.63369835791154,0.0,-70.31250000000001,0.706561999275205,318.3226191880899,405.88030822676166,250.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_1.5ms,315.66278793945,72.25321845642581,90.21752028731163,90.21752028731163,False
-69.40735,87.31259999999999,-2.842170943040401e-14,0.9076082759098344,3634.7103945071817,2221.2984470045426,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,1352.8578906393082,111.53864959189033,868.4405563652344,868.4405563652344,False
-39.1373,6.59256,-168.52499999999998,1.1708986478768946,1720.5278326877387,3578.8113212772005,250.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_0.1ms,3845.888464109151,173.13539708460425,-267.07714283195037,-267.07714283195037,False
66.0207,70.8314,-53.9439,0.8335476351115196,3213.624721316107,2351.483351276982,350.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.1ms,2196.355555446438,110.84116744991456,155.12779583054407,155.12779583054407,False
-283.024,14.201000000000006,-173.8735,1.0044795916294198,788.6494219625893,1140.0102604240967,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,1657.5089942188697,332.469918908839,-517.498733794773,-517.498733794773,False
19.079830469369323,8.333333333333332,-52.083333333333314,0.982225799221659,315.06174347560284,362.3938748282635,50.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1.5ms,318.7634142757762,56.09062298009737,43.63046055248731,43.63046055248731,False
110.32939581461876,95.49331540290208,-93.75,0.6540113788189396,429.94894959492507,429.5852861555378,50.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.1ms,298.0,173.4376296178455,131.5852861555378,131.5852861555378,False
18.38823263576989,17.05237775051823,-2.842170943040401e-14,1.0240666517320673,3159.9196372649167,2626.8322497584277,50.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.1ms,2634.02542340475,25.078091761806,-7.193173646322521,-7.193173646322521,False
-75.2585,24.91,-34.9571,1.5145833288399628,2730.6710968479742,3315.084685157724,250.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_1ms,3694.3505761199604,86.63918722298818,-379.2658909622364,-379.2658909622364,False
110.32939581461876,68.20951100207292,-187.5,0.6343472729333549,362.85196239992024,351.79024711816027,50.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.1ms,298.0,227.99421697043266,53.790247118160266,53.790247118160266,False
3.6343799999999997,38.427350000000004,-2.842170943040401e-14,0.5624108879635988,13127.061133767853,5792.901462015859,250.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_0.1ms,6328.651371558346,38.59883347987216,-535.7499095424873,-535.7499095424873,False
-108.00699999999999,32.10105,-22.73385,0.7408076167264742,3328.9019725377393,3184.8333439930775,250.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_1ms,3221.2099070391264,114.94701995234587,-36.37656304604889,-36.37656304604889,False
24.9505475368675,43.55330398125017,-20.833333333333336,1.340717120594879,638.9642404221671,582.915554189583,150.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_1.5ms,436.5952943783017,54.345633567476646,146.3202598112813,146.3202598112813,False
