delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-508.508,235.049,40.8015,-0.57741,0.614745,-0.537295,-72,16,-74.1316,0.288705,1853.45,3454.85,2994.15,3454.85,3915.54,3963.35
-426.861,235.304,48.3662,-0.424429,0.706048,-0.566884,-64,18.8151,-78.125,0.212214,1593.1,3454.85,2993.65,3454.85,3916.04,3881.71
-388.085,231.099,57.2116,-0.213658,0.802565,-0.556992,-56,22.1535,-78.125,0.106829,1495.01,3454.85,3001.89,3454.85,3907.8,3842.93
-372.335,243.815,67.2577,-0.0577524,0.842574,-0.535475,-48,23.3112,-78.125,0.0288762,1403.37,3454.85,2976.97,3454.85,3932.72,3827.18
-415.147,226.137,57.9751,-0.19793,0.83447,-0.51428,-56,24,-75.1925,0.0989648,1602.35,3454.85,3011.62,3454.85,3898.08,3869.99
-387.546,242.238,67.5937,-0.048443,0.853168,-0.519382,-48,24,-76.9372,0.0242215,1445.82,3454.85,2980.06,3454.85,3929.63,3842.39
-554.943,218.489,30.4762,-0.724636,0.242847,-0.644925,-84.2192,0,-70.3125,0.362318,2159.11,3454.85,3026.61,3454.85,3883.08,4009.79
-565.973,216.887,28.9164,-0.704781,0.256315,-0.661503,-88,0,-65.6492,0.35239,2422.61,3454.85,3029.75,3454.85,3879.94,4020.82
-565.183,221.34,31.5936,-0.716537,0.370408,-0.591078,-81.5002,8,-70.3125,0.358268,2128.69,3454.85,3021.02,3454.85,3888.67,4020.03
-561.781,224.73,32.8,-0.692899,0.432043,-0.577261,-80,10.0043,-70.3125,0.346449,2109.51,3454.85,3014.38,3454.85,3895.32,4016.63
-536.817,230.777,37.2468,-0.600007,0.60523,-0.523153,-75.677,16,-70.3125,0.300003,2046.83,3454.85,3002.52,3454.85,3907.17,3991.66
-573.426,223.736,33.496,-0.597851,0.586129,-0.546833,-80,16,-64.9659,0.298926,2353.14,3454.85,3016.32,3454.85,3893.37,4028.27
-522.822,230.94,40.3965,-0.547745,0.67329,-0.496645,-72,18.7302,-70.3125,0.273873,1996.98,3454.85,3002.2,3454.85,3907.49,3977.67
-476.631,223.563,50.3406,-0.377925,0.800484,-0.465187,-64,23.9796,-70.3125,0.188962,1883.05,3454.85,3016.66,3454.85,3893.03,3931.48
-476.403,223.515,50.3905,-0.376712,0.801073,-0.465157,-63.9585,24,-70.3125,0.188356,1882.45,3454.85,3016.76,3454.85,3892.94,3931.25
-476.903,223.518,50.3478,-0.377683,0.800705,-0.465002,-64,24,-70.2774,0.188841,1884.64,3454.85,3016.75,3454.85,3892.94,3931.75
-440.373,224.708,56.0287,-0.190826,0.866064,-0.46208,-56,26.6888,-70.3125,0.0954128,1771.99,3454.85,3014.42,3454.85,3895.27,3895.22
-439.386,240.195,63.7926,-0.0233622,0.890591,-0.454205,-48,27.5143,-70.3125,0.0116811,1670.26,3454.85,2984.06,3454.85,3925.63,3894.23
-547.639,217.615,26.7789,-0.670585,0.272034,-0.690154,-91.3117,0,-62.5,0.335292,2594.96,3454.85,3028.32,3454.85,3881.37,4002.48
-508.832,213.79,24.4673,-0.598131,0.287729,-0.747964,-96,0,-57.8529,0.299066,2871.59,3454.85,3035.82,3454.85,3873.87,3963.68
-583.792,213.484,28.0362,-0.686329,0.350008,-0.637532,-88,7.5271,-62.5,0.343164,2568.83,3454.85,3036.42,3454.85,3873.27,4038.64
-585.134,213.418,28.0367,-0.685921,0.356298,-0.634479,-87.8282,8,-62.5,0.342961,2566.99,3454.85,3036.55,3454.85,3873.15,4039.98
-584.946,213.117,27.9775,-0.684291,0.355417,-0.636729,-88,8,-62.2912,0.342146,2580.11,3454.85,3037.14,3454.85,3872.55,4039.79
-571.073,219.088,31.4924,-0.592558,0.570845,-0.568341,-82.4994,16,-62.5,0.296279,2491.6,3454.85,3025.43,3454.85,3884.26,4025.92
-547.119,212.372,28.229,-0.560041,0.511789,-0.651479,-88,16,-57.0393,0.280021,2831.89,3454.85,3038.6,3454.85,3871.09,4001.97
-571.138,221.798,33.1515,-0.56358,0.620955,-0.544787,-80,17.9308,-62.5,0.28179,2459.82,3454.85,3020.12,3454.85,3889.57,4025.98
-554.302,221.721,41.1331,-0.470653,0.748835,-0.466617,-72,23.7577,-62.5,0.235327,2346.13,3454.85,3020.27,3454.85,3889.42,4009.15
-545.746,216.001,33.6761,-0.434854,0.698597,-0.568211,-80,24,-54.9015,0.217427,2832.93,3454.85,3031.48,3454.85,3878.21,4000.59
-552.105,221.545,41.5178,-0.464234,0.753887,-0.464909,-71.6794,24,-62.5,0.232117,2340.87,3454.85,3020.62,3454.85,3889.07,4006.95
