Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
8.75455e+06,-0.649052,0.541922,-0.533903,-0.000245489,3.71193e-06,-4.84924e-06,0.324526,3454.85
8.75018e+06,-0.647535,0.541322,-0.536234,-0.000245692,3.47993e-06,-4.81461e-06,0.323767,3454.85
8.74796e+06,-0.646018,0.540723,-0.538565,-0.000245894,3.24794e-06,-4.77998e-06,0.323009,3454.85
8.75218e+06,-0.645082,0.542457,-0.537726,-0.000245683,3.80261e-06,-4.54616e-06,0.322541,3454.85
8.74789e+06,-0.644501,0.540123,-0.540897,-0.000246097,3.01594e-06,-4.74535e-06,0.322251,3454.85
8.78346e+06,-0.644331,0.534972,-0.544085,-0.000245339,3.65858e-06,-5.10576e-06,0.322165,3454.85
8.74522e+06,-0.643565,0.541857,-0.540058,-0.000245886,3.57061e-06,-4.51153e-06,0.321783,3454.85
8.74997e+06,-0.642985,0.539523,-0.543228,-0.000246299,2.78395e-06,-4.71073e-06,0.321492,3454.85
8.78024e+06,-0.642814,0.534372,-0.546417,-0.000245542,3.42658e-06,-5.07113e-06,0.321407,3454.85
8.7404e+06,-0.642049,0.541257,-0.542389,-0.000246089,3.33862e-06,-4.4769e-06,0.321024,3454.85
8.80015e+06,-0.641939,0.553782,-0.526914,-0.000245301,3.90829e-06,-4.8574e-06,0.320969,3454.85
8.75421e+06,-0.641468,0.538924,-0.545559,-0.000246502,2.55195e-06,-4.6761e-06,0.320734,3454.85
8.77916e+06,-0.641297,0.533773,-0.548748,-0.000245744,3.19459e-06,-5.0365e-06,0.320648,3454.85
8.75485e+06,-0.641113,0.542991,-0.54155,-0.000245878,3.89329e-06,-4.24308e-06,0.320556,3454.85
8.73773e+06,-0.640532,0.540658,-0.54472,-0.000246291,3.10662e-06,-4.44228e-06,0.320266,3454.85
8.76058e+06,-0.639951,0.538324,-0.54789,-0.000246705,2.31996e-06,-4.64147e-06,0.319976,3454.85
8.78023e+06,-0.63978,0.533173,-0.551079,-0.000245947,2.96259e-06,-5.00187e-06,0.31989,3454.85
8.8132e+06,-0.639609,0.528022,-0.554268,-0.00024519,3.60523e-06,-5.36227e-06,0.319805,3454.85
8.74529e+06,-0.639596,0.542392,-0.543881,-0.00024608,3.66129e-06,-4.20845e-06,0.319798,3454.85
8.73722e+06,-0.639015,0.540058,-0.547051,-0.000246494,2.87463e-06,-4.40765e-06,0.319508,3454.85
8.76911e+06,-0.638434,0.537724,-0.550222,-0.000246907,2.08796e-06,-4.60684e-06,0.319217,3454.85
8.78344e+06,-0.638263,0.532573,-0.55341,-0.00024615,2.7306e-06,-4.96724e-06,0.319132,3454.85
8.81112e+06,-0.638093,0.527422,-0.556599,-0.000245392,3.37323e-06,-5.32765e-06,0.319046,3454.85
8.73787e+06,-0.638079,0.541792,-0.546212,-0.000246283,3.4293e-06,-4.17383e-06,0.31904,3454.85
8.79911e+06,-0.637969,0.554317,-0.530738,-0.000245495,3.99896e-06,-4.55433e-06,0.318985,3454.85
8.73886e+06,-0.637498,0.539458,-0.549383,-0.000246696,2.64263e-06,-4.37302e-06,0.318749,3454.85
8.82848e+06,-0.637218,0.546832,-0.537097,-0.000245151,3.85494e-06,-5.11392e-06,0.318609,3454.85
8.76252e+06,-0.637143,0.543526,-0.545374,-0.000246072,3.98397e-06,-3.94001e-06,0.318572,3454.85
8.77976e+06,-0.636917,0.537125,-0.552553,-0.00024711,1.85596e-06,-4.57222e-06,0.318459,3454.85
8.78879e+06,-0.636747,0.531974,-0.555742,-0.000246352,2.4986e-06,-4.93262e-06,0.318373,3454.85
8.81118e+06,-0.636576,0.526823,-0.55893,-0.000245595,3.14124e-06,-5.29302e-06,0.318288,3454.85
8.7326e+06,-0.636562,0.541192,-0.548544,-0.000246485,3.1973e-06,-4.1392e-06,0.318281,3454.85
8.74266e+06,-0.635981,0.538859,-0.551714,-0.000246899,2.41063e-06,-4.33839e-06,0.317991,3454.85
8.75038e+06,-0.635626,0.542926,-0.547705,-0.000246275,3.75197e-06,-3.90538e-06,0.317813,3454.85
8.79255e+06,-0.635401,0.536525,-0.554884,-0.000247312,1.62397e-06,-4.53759e-06,0.3177,3454.85
8.79628e+06,-0.63523,0.531374,-0.558073,-0.000246555,2.26661e-06,-4.89799e-06,0.317615,3454.85
8.81337e+06,-0.635059,0.526223,-0.561262,-0.000245797,2.90924e-06,-5.25839e-06,0.317529,3454.85
8.72949e+06,-0.635045,0.540593,-0.550875,-0.000246688,2.9653e-06,-4.10457e-06,0.317523,3454.85
8.84376e+06,-0.634888,0.521072,-0.564451,-0.00024504,3.55188e-06,-5.61879e-06,0.317444,3454.85
8.84619e+06,-0.634826,0.565642,-0.519925,-0.000245113,4.10464e-06,-4.86557e-06,0.317413,3454.85
8.7486e+06,-0.634465,0.538259,-0.554045,-0.000247101,2.17864e-06,-4.30377e-06,0.317232,3454.85
8.74037e+06,-0.634109,0.542327,-0.550036,-0.000246477,3.51997e-06,-3.87075e-06,0.317055,3454.85
8.80308e+06,-0.634,0.554851,-0.534561,-0.00024569,4.08964e-06,-4.25125e-06,0.317,3454.85
8.80745e+06,-0.633884,0.535926,-0.557216,-0.000247515,1.39197e-06,-4.50296e-06,0.316942,3454.85
8.8059e+06,-0.633713,0.530774,-0.560404,-0.000246757,2.03461e-06,-4.86336e-06,0.316857,3454.85
8.8177e+06,-0.633542,0.525623,-0.563593,-0.000246,2.67725e-06,-5.22376e-06,0.316771,3454.85
8.72853e+06,-0.633529,0.539993,-0.553206,-0.000246891,2.73331e-06,-4.06994e-06,0.316764,3454.85
8.84281e+06,-0.633371,0.520472,-0.566782,-0.000245242,3.31989e-06,-5.58416e-06,0.316686,3454.85
8.77521e+06,-0.633173,0.544061,-0.549197,-0.000246266,4.07464e-06,-3.63693e-06,0.316587,3454.85
8.75669e+06,-0.632948,0.53766,-0.556377,-0.000247304,1.94664e-06,-4.26914e-06,0.316474,3454.85
8.7325e+06,-0.632593,0.541727,-0.552367,-0.00024668,3.28798e-06,-3.83612e-06,0.316296,3454.85
8.85764e+06,-0.632496,0.539882,-0.547279,-0.000245001,3.80159e-06,-5.37044e-06,0.316248,3454.85
8.82447e+06,-0.632367,0.535326,-0.559547,-0.000247717,1.15998e-06,-4.46833e-06,0.316184,3454.85
8.81764e+06,-0.632196,0.530175,-0.562736,-0.00024696,1.80262e-06,-4.82873e-06,0.316098,3454.85
8.82416e+06,-0.632025,0.525024,-0.565924,-0.000246202,2.44525e-06,-5.18914e-06,0.316013,3454.85
8.72973e+06,-0.632012,0.539393,-0.555538,-0.000247093,2.50131e-06,-4.03532e-06,0.316006,3454.85
8.844e+06,-0.631855,0.519873,-0.569113,-0.000245445,3.08789e-06,-5.54954e-06,0.315927,3454.85
8.76049e+06,-0.631657,0.543461,-0.551528,-0.000246469,3.84265e-06,-3.6023e-06,0.315828,3454.85
8.76692e+06,-0.631431,0.53706,-0.558708,-0.000247507,1.71465e-06,-4.23451e-06,0.315716,3454.85
8.72679e+06,-0.631076,0.541127,-0.554699,-0.000246882,3.05598e-06,-3.8015e-06,0.315538,3454.85
8.84647e+06,-0.630857,0.566177,-0.523749,-0.000245307,4.19532e-06,-4.56249e-06,0.315428,3454.85
8.84358e+06,-0.63085,0.534726,-0.561878,-0.00024792,9.27982e-07,-4.43371e-06,0.315425,3454.85
8.8315e+06,-0.630679,0.529575,-0.565067,-0.000247163,1.57062e-06,-4.79411e-06,0.31534,3454.85
8.83275e+06,-0.630509,0.524424,-0.568256,-0.000246405,2.21326e-06,-5.15451e-06,0.315254,3454.85
8.73308e+06,-0.630495,0.538794,-0.557869,-0.000247296,2.26932e-06,-4.00069e-06,0.315248,3454.85
8.84731e+06,-0.630338,0.519273,-0.571444,-0.000245648,2.85589e-06,-5.51491e-06,0.315169,3454.85
8.87513e+06,-0.630167,0.514122,-0.574633,-0.00024489,3.49853e-06,-5.87531e-06,0.315083,3454.85
8.74789e+06,-0.63014,0.542861,-0.55386,-0.000246671,3.61065e-06,-3.56767e-06,0.31507,3454.85
8.87395e+06,-0.630105,0.558692,-0.530107,-0.000244963,4.05129e-06,-5.12209e-06,0.315052,3454.85
8.81202e+06,-0.63003,0.555386,-0.538385,-0.000245884,4.18032e-06,-3.94817e-06,0.315015,3454.85
8.77928e+06,-0.629914,0.53646,-0.561039,-0.000247709,1.48265e-06,-4.19988e-06,0.314957,3454.85
