x,y,z,temp,G,R
83.0,0.0,-48.550423,3454.8464,71947634.3561661,0.0006329351916540445
84.0,0.0,-48.546818,3454.8464,71366368.52352025,0.002928446322131348
85.0,0.0,-48.538616,3454.8464,70786697.68420011,0.0052307160261448726
86.0,0.0,-48.525806,3454.8464,70208605.929733,0.007540140885778707
87.0,0.0,-48.508366,3454.8464,69632089.09243712,0.009856870104240967
88.0,0.0,-48.48628,3454.8464,69057144.56836425,0.012181118287002086
89.0,0.0,-48.45952,3454.8464,68483771.22735594,0.014513102624147532
90.0,0.0,-48.428074,3454.8464,67911969.4121269,0.0168530425262327
91.0,0.0,-48.39191,3454.8464,67341740.93362902,0.019201159253619194
92.0,0.0,-48.351013,3454.8464,66773089.0627336,0.021557675540635323
93.0,0.0,-48.305355,3454.8464,66206018.51829485,0.02392281521588703
94.0,0.0,-48.254906,3454.8464,65640535.45164047,0.02629680282020843
95.0,0.0,-48.199642,3454.8464,65076647.42757904,0.02867986322364533
96.0,0.0,-48.139534,3454.8464,64514363.4019839,0.03107222124296318
97.0,0.0,-48.074554,3454.8464,63953693.69606437,0.033474101261168336
98.0,0.0,-48.004673,3454.8464,63394649.96739617,0.03588572685050152
83.0,1.0,-48.545105,3454.8464,71945600.22405899,0.0006432561406878838
84.0,1.0,-48.541477,3454.8464,71364326.3982171,0.0029388881734068928
85.0,1.0,-48.533257,3454.8464,70784648.01872948,0.005241278024009394
86.0,1.0,-48.520424,3454.8464,70206549.30172068,0.007550824349353452
87.0,1.0,-48.50296,3454.8464,69630026.08785787,0.009867675520699202
88.0,1.0,-48.480846,3454.8464,69055075.78187247,0.012192046030264131
89.0,1.0,-48.454063,3454.8464,68481697.2617533,0.014524152950923816
90.0,1.0,-48.422592,3454.8464,67909890.87781964,0.01686421557217759
91.0,1.0,-48.386402,3454.8464,67339658.4480777,0.019212455029540394
92.0,1.0,-48.345478,3454.8464,66771003.2498973,0.02156909392881378
93.0,1.0,-48.29979,3454.8464,66203930.00806495,0.023934355966535103
94.0,1.0,-48.249313,3454.8464,65638444.87927223,0.02630846554803295
95.0,1.0,-48.19402,3454.8464,65074555.433114424,0.028691647404552226
96.0,1.0,-48.13388,3454.8464,64512270.62967646,0.031084126210901605
97.0,1.0,-48.06887,3454.8464,63951600.793791436,0.03348612620515408
83.0,2.0,-48.52915,3454.8464,71942556.15001154,0.0006741936846741893
84.0,2.0,-48.52546,3454.8464,71361257.46550116,0.0029700897004976507
85.0,2.0,-48.51717,3454.8464,70781555.7335914,0.0052727394048537705
86.0,2.0,-48.50427,3454.8464,70203435.545175,0.007582547605553203
87.0,2.0,-48.486736,3454.8464,69626892.76694109,0.009899660118583464
88.0,2.0,-48.46455,3454.8464,69051924.8304628,0.012224291031586175
89.0,2.0,-48.43769,3454.8464,68478530.63884087,0.014556656999520044
90.0,2.0,-48.40614,3454.8464,67906710.56574464,0.01689697688087759
91.0,2.0,-48.369873,3454.8464,67336466.45074904,0.01924547136741254
92.0,2.0,-48.328865,3454.8464,66767801.590986475,0.021602362608733574
93.0,2.0,-48.283092,3454.8464,66200720.729181185,0.023967873833142674
94.0,2.0,-48.23253,3454.8464,65635230.03812312,0.02634222896609224
95.0,2.0,-48.177147,3454.8464,65071337.10165317,0.028725652247786587
96.0,2.0,-48.11692,3454.8464,64509050.89223863,0.031118367851322964
97.0,2.0,-48.05182,3454.8464,63948381.74522415,0.033520599502868384
83.0,3.0,-48.502537,3454.8464,71937494.4378659,0.000725765267504976
84.0,3.0,-48.49874,3454.8464,71356154.42780963,0.0030221003622272475
85.0,3.0,-48.490345,3454.8464,70776413.87968041,0.0053251822451025445
86.0,3.0,-48.47733,3454.8464,70198258.00727257,0.007635425964173601
87.0,3.0,-48.459675,3454.8464,69621682.72067028,0.009952973080762414
88.0,3.0,-48.437366,3454.8464,69046685.49611087,0.012278037008378057
89.0,3.0,-48.410385,3454.8464,68473265.2784695,0.014610833705659236
90.0,3.0,-48.378704,3454.8464,67901422.48026137,0.016951581313056557
91.0,3.0,-48.342304,3454.8464,67331158.97693503,0.019300499783052264
92.0,3.0,-48.301163,3454.8464,66762478.09848746,0.021657810505329653
93.0,3.0,-48.25525,3454.8464,66195384.617473155,0.02402373592826036
94.0,3.0,-48.20454,3454.8464,65629884.733446434,0.02639849917804706
95.0,3.0,-48.149014,3454.8464,65065986.05392528,0.0287823236770737
96.0,3.0,-48.088634,3454.8464,64503697.57195033,0.031175432762881015
97.0,3.0,-48.02338,3454.8464,63943029.64032173,0.03357804930921404
83.0,4.0,-48.465244,3454.8464,71930432.67328167,0.000797984438309741
84.0,4.0,-48.4613,3454.8464,71349035.02872303,0.0030949323704969017
85.0,4.0,-48.45275,3454.8464,70769240.35686253,0.005398617392359035
86.0,4.0,-48.439575,3454.8464,70191034.7399743,0.00770946886445299
87.0,4.0,-48.421757,3454.8464,69614414.14895232,0.010027622400189229
88.0,4.0,-48.399277,3454.8464,69039376.12240128,0.01235329046965237
89.0,4.0,-48.37212,3454.8464,68465919.66352451,0.014686688057116457
90.0,4.0,-48.34026,3454.8464,67894045.23906541,0.017028032298356692
91.0,4.0,-48.303673,3454.8464,67323754.77454264,0.019377542111596785
92.0,4.0,-48.262337,3454.8464,66755051.64582069,0.021735437823471742
93.0,4.0,-48.21623,3454.8464,66187940.66706829,0.024101940791409614
94.0,4.0,-48.16532,3454.8464,65622428.07516847,0.026477273023772695
95.0,4.0,-48.109585,3454.8464,65058521.51065142,0.02886165679924817
96.0,4.0,-48.048996,3454.8464,64496229.99522692,0.03125531428697809
83.0,5.0,-48.417236,3454.8464,71921395.41381383,0.000890870235484231
84.0,5.0,-48.4131,3454.8464,71339924.04602446,0.003188602895890849
85.0,5.0,-48.40435,3454.8464,70760060.16084793,0.005493060111770919
86.0,5.0,-48.39097,3454.8464,70181790.95105413,0.007804689604696307
87.0,5.0,-48.37294,3454.8464,69605112.46581891,0.010123619355560665
88.0,5.0,-48.350243,3454.8464,69030022.32365617,0.012450060622097555
89.0,5.0,-48.322857,3454.8464,68456519.60249314,0.014784227136651222
90.0,5.0,-48.290764,3454.8464,67884604.83853048,0.017126334744286743
91.0,5.0,-48.253937,3454.8464,67314280.02140577,0.019476601034696818
92.0,5.0,-48.212357,3454.8464,66745548.58569864,0.02183524496920141
93.0,5.0,-48.165997,3454.8464,66178415.398837626,0.024202486504271134
94.0,5.0,-48.11483,3454.8464,65612886.74546002,0.026578546212932475
95.0,5.0,-48.05883,3454.8464,65048970.30830527,0.028963644905543214
83.0,6.0,-48.35846,3454.8464,71910414.12681043,0.00100444725591881
84.0,6.0,-48.35409,3454.8464,71328853.22874123,0.0033031341412113465
85.0,6.0,-48.345097,3454.8464,70748905.31936362,0.005608530164103443
86.0,6.0,-48.331467,3454.8464,70170558.93941325,0.007921105425231499
87.0,6.0,-48.313175,3454.8464,69593810.23388276,0.010240978599431003
88.0,6.0,-48.29021,3454.8464,69018656.91853608,0.012568359463629976
89.0,6.0,-48.26255,3454.8464,68445098.16221957,0.014903460221300728
90.0,6.0,-48.23017,3454.8464,67873134.58562125,0.017246495141576446
91.0,6.0,-48.193054,3454.8464,67302768.25635165,0.01959768019229031
92.0,6.0,-48.151176,3454.8464,66734002.68037108,0.021957232668266474
93.0,6.0,-48.104507,3454.8464,66166842.789824605,0.02432537081626766
94.0,6.0,-48.053024,3454.8464,65601294.92735134,0.02670231345795457
83.0,7.0,-48.28886,3454.8464,71897527.10994735,0.0011387457435300557
84.0,7.0,-48.284214,3454.8464,71315861.21659066,0.003438553435494925
85.0,7.0,-48.274937,3454.8464,70735814.81049104,0.005745051905583107
86.0,7.0,-48.261005,3454.8464,70157378.01231073,0.008058737614419992
87.0,7.0,-48.24241,3454.8464,69580547.08047609,0.010379718270756866
88.0,7.0,-48.219128,3454.8464,69005319.84509227,0.012708201902891644
89.0,7.0,-48.191143,3454.8464,68431695.58187312,0.015044398909270625
90.0,7.0,-48.15843,3454.8464,67859675.01078796,0.01738852169882646
91.0,7.0,-48.120964,3454.8464,67289260.29104061,0.01974078432538262
92.0,7.0,-48.07873,3454.8464,66720455.01240261,0.02210140211746729
93.0,7.0,-48.031696,3454.8464,66153264.18297693,0.024470591304955474
83.0,8.0,-48.208366,3454.8464,71882779.39467934,0.00129380169675407
84.0,8.0,-48.203403,3454.8464,71300993.44210581,0.0035948933481003663
85.0,8.0,-48.193794,3454.8464,70720834.4634544,0.005902654408989081
86.0,8.0,-48.179523,3454.8464,70142294.38482632,0.008217611637251324
87.0,8.0,-48.160572,3454.8464,69565369.59578818,0.010539860131469679
88.0,8.0,-48.136925,3454.8464,68990058.05758566,0.01286960590422076
89.0,8.0,-48.108562,3454.8464,68416359.16846305,0.015207057273744195
90.0,8.0,-48.075462,3454.8464,67844273.76218322,0.017552424505696187
91.0,8.0,-48.037598,3454.8464,67273804.10288577,0.019905919449133693
83.0,9.0,-48.116898,3454.8464,71866222.63294835,0.001469656994467793
84.0,9.0,-48.111572,3454.8464,71284302.01580529,0.003772191822413643
85.0,9.0,-48.10159,3454.8464,70704016.84222396,0.0060813716055546215
86.0,9.0,-48.08693,3454.8464,70125361.06190415,0.008397757285981279
87.0,9.0,-48.06758,3454.8464,69548331.21336372,0.010721429726357907
88.0,9.0,-48.04352,3454.8464,68972925.40545091,0.013052592657359476
89.0,9.0,-48.01473,3454.8464,68399143.17427465,0.015391452042997664
83.0,10.0,-48.014366,3454.8464,71847914.96755056,0.001666359539958509
84.0,10.0,-48.008636,3454.8464,71265845.59479856,0.003970492328573394
98.063065,0.0,-48.0,3454.8464,63359569.23179075,0.03603813563387598
