case_id,power_w,velocity_m_s,actual_amplitude,predicted_amplitude,actual_rear_scale,predicted_rear_scale,actual_front_scale,predicted_front_scale,actual_width_scale,predicted_width_scale,actual_depth_scale,predicted_depth_scale,actual_x_shift_over_sigma,predicted_x_shift_over_sigma
alloy0_50W_0.1ms,50.0,0.1,0.9803641242566303,0.9204296372936378,0.4215807143905887,0.5011049624755181,0.7584147928665994,1.0265517891469529,0.5995400417653689,0.7829459884009421,0.7179974579792352,1.849202726106523,-0.033544615281494876,-0.03856798709652738
alloy0_50W_0.5ms,50.0,0.5,1.1591989447399302,1.2993826507965116,0.524371597804618,0.46076636907589374,0.7112342635040543,0.6271212517803267,0.6899934356710512,0.5858787727982347,1.0145860227191799,0.9061833070636766,0.09391171765323432,0.03729139044606834
alloy0_50W_1ms,50.0,1.0,1.3480890166137043,1.561829148885021,0.5210484882875935,0.4929961867648076,0.5778800123896265,0.533437379802367,0.648844399974176,0.5824117226898211,1.0115938896078585,0.8001491830031124,0.1191008982098191,0.11533711537258756
alloy0_50W_1.5ms,50.0,1.5,1.4783232047143218,1.4404813886535628,0.5101108930407033,0.49771742906426303,0.5494744918093153,0.5523512614981748,0.6206728668929506,0.6779827782502661,1.0096529502806404,0.6316527503915307,0.09909536076294437,0.14977494047512438
alloy0_150W_0.1ms,150.0,0.1,0.7458629600395381,0.7237738105511811,0.7513938609271009,0.7067688867541727,1.0623217906996993,0.88424374447364,0.8879088740950354,0.8347211257876005,3.4440999232572116,1.6427416801537182,-0.0870608459059703,-0.031617032032451836
alloy0_150W_0.5ms,150.0,0.5,1.256921950689037,0.935845065826901,0.6693006350251077,0.7545696508576192,0.6487747428143739,0.7148829063545231,0.6951700994786374,0.7751047352316114,1.5508625783226395,1.6778243195539608,-0.005517888289340407,0.05128709036837075
alloy0_150W_1ms,150.0,1.0,1.3396948329404148,1.2434301404940713,0.6728391015145394,0.7411949904855055,0.5434524237582197,0.5739563424272854,0.6968712612720414,0.6977202005009109,0.9092624592723302,1.447865948062497,0.10821285136451167,0.08776036655040291
alloy0_150W_1.5ms,150.0,1.5,1.5000978251771484,1.2518547385750365,0.6402225450001453,0.710742359497227,0.5236511015787044,0.561753393027151,0.6434201774409924,0.728312135247016,0.9209047021264659,1.1443232924128577,0.0812688620887194,0.09264576678110388
alloy0_250W_0.1ms,250.0,0.1,0.46182394600341725,0.5477564361793571,0.9696993229733635,1.0243708815994021,0.9960567846388342,1.0123133766426131,1.030727820897198,1.001594146108104,4.393294082817466,4.116459917243677,0.013144624956371587,-0.06255723127080184
alloy0_250W_1ms,250.0,1.0,0.7649960474208171,1.104963748711298,1.2619631255216435,0.8018110361143496,0.6216049658786922,0.5506070785463779,0.8139114743350198,0.7249225002503031,2.6301291298757015,1.6660144946274391,0.05559593825277176,0.11420049828471283
alloy0_250W_1.5ms,250.0,1.5,1.075204848436189,1.1383349911288712,0.7329296587799824,0.8562060261869393,0.5122374167488738,0.5438129545543204,0.7234760712634322,0.6999954132128524,0.9578986290285995,1.5557261842838013,0.1545252652338764,0.055456366696924705
alloy0_350W_0.1ms,350.0,0.1,0.3054672703654089,0.3866826737818739,1.5162940644133336,0.892822450873368,1.0946015006671013,0.9895422307956456,1.2475694973300244,0.9502816769037112,8.0,8.0,0.006809242854072809,0.0060122120758359515
alloy0_350W_0.5ms,350.0,0.5,0.6591808805729449,0.4449913310622161,0.7781041989007766,1.381742523103921,0.6791659382525488,0.7713584007391207,0.7524342437886884,0.9967598870561836,3.8007909461503813,5.782946936835922,0.052950307399363794,0.10425307504742805
alloy0_350W_1ms,350.0,1.0,0.6939291730329296,0.7472516837747686,1.0357480319692396,0.970524840890953,0.5373954802815208,0.5695620529099993,0.7346709782099881,0.7523607801383886,3.015881508325972,2.640291270754485,0.19230591625370597,0.09917118331055606
alloy0_350W_1.5ms,350.0,1.5,0.8858435689366175,0.8271318030516418,0.8864777548354308,0.7629819115029013,0.5394609624130426,0.44896659899004693,0.699205394880559,0.6146313038046053,2.0383010198653007,1.1081997838521263,0.0672851390815783,0.20745942211068585
